pattern_id,sport,market_type,source_combo,current_tier_if_known,n,wins,losses,pushes,win_rate,wilson_lower,units,roi,confidence_bucket,audit_flag,proposed_policy,proposed_reason,manual_decision,manual_note
NBA|action|betql|spread,NBA,spread,action|betql,suspicious_list,189,87,102,0,0.4603,0.3908,-65.8,-0.4874,strong,below_breakeven,exclude_from_auto_a,Below break-even: wilson=0.391,,
MLB|action|sportsline|total,MLB,total,action|sportsline,suspicious_list,188,85,93,10,0.4775,0.4054,-52.98,-0.3604,strong,mlb_immature,watchlist_only,MLB patterns not yet mature,,
MLB|sportsline|spread,MLB,spread,sportsline,strong_list,177,99,73,5,0.5756,0.5009,6.03,0.0341,strong,mlb_watchlist,watchlist_only,MLB approaching but needs more sample,,
NBA|action|betql|total,NBA,total,action|betql,suspicious_list,165,63,102,0,0.3818,0.3112,-92.23,-0.8162,strong,very_weak,exclude_from_auto_a,"Very weak: wilson=0.311, 63W-102L",,
NBA|dimers|spread,NBA,spread,dimers,,158,88,70,0,0.557,0.4791,11.92,0.0769,strong,acceptable,keep_auto_a,Acceptable edge: wilson=0.479,,
NBA|betql|covers|player_prop,NBA,player_prop,betql|covers,suspicious_list,145,73,69,3,0.5141,0.4326,0.76,0.0052,actionable,marginal,exclude_from_auto_a,"Marginal: wilson=0.433, insufficient edge",,
NBA|action|dimers|moneyline,NBA,moneyline,action|dimers,suspicious_list,139,65,74,0,0.4676,0.3867,-41.68,-0.3789,actionable,below_breakeven,exclude_from_auto_a,Below break-even: wilson=0.387,,
NBA|juicereel_nukethebooks|player_prop,NBA,player_prop,juicereel_nukethebooks,strong_list,126,74,52,0,0.5873,0.5,-23.08,-0.2715,actionable,solid,keep_auto_a,"Solid: wilson=0.500, n=126",,
NBA|action|dimers|total,NBA,total,action|dimers,suspicious_list,101,47,54,0,0.4653,0.3711,-35.62,-0.4879,actionable,below_breakeven,exclude_from_auto_a,Below break-even: wilson=0.371,,
NBA|dimers|total,NBA,total,dimers,suspicious_list,101,46,55,0,0.4554,0.3617,-7.23,-0.0723,actionable,below_breakeven,exclude_from_auto_a,Below break-even: wilson=0.362,,
NBA|betql|oddstrader|player_prop,NBA,player_prop,betql|oddstrader,suspicious_list,97,51,46,0,0.5258,0.4273,-9.83,-0.1156,actionable,marginal,exclude_from_auto_a,"Marginal: wilson=0.427, insufficient edge",,
NBA|action|bettingpros_experts|spread,NBA,spread,action|bettingpros_experts,suspicious_list,90,42,45,3,0.4828,0.3807,-18.15,-0.2298,actionable,below_breakeven,exclude_from_auto_a,Below break-even: wilson=0.381,,
NBA|action|dimers|sportsline|spread,NBA,spread,action|dimers|sportsline,strong_list,76,54,22,0,0.7105,0.6004,-3.1,-0.0738,actionable,strong,keep_auto_a,"Strong: wilson=0.600, n=76",,
NBA|bettingpros_experts|sportsline|player_prop,NBA,player_prop,bettingpros_experts|sportsline,strong_list,76,49,27,0,0.6447,0.5326,5.57,0.0774,actionable,strong,keep_auto_a,"Strong: wilson=0.533, n=76",,
NBA|action|vegasinsider|spread,NBA,spread,action|vegasinsider,suspicious_list,68,38,30,0,0.5588,0.4408,-6.17,-0.1143,watchlist,marginal,exclude_from_auto_a,"Marginal: wilson=0.441, insufficient edge",,
MLB|sportsline|total,MLB,total,sportsline,suspicious_list,68,33,33,2,0.5,0.3827,-2.81,-0.0414,watchlist,mlb_immature,watchlist_only,MLB patterns not yet mature,,
NBA|action|bettingpros_experts|total,NBA,total,action|bettingpros_experts,suspicious_list,61,33,28,0,0.541,0.4172,-10.83,-0.2355,watchlist,below_breakeven,exclude_from_auto_a,Below break-even: wilson=0.417,,
NBA|action|oddstrader|spread,NBA,spread,action|oddstrader,suspicious_list,61,32,29,0,0.5246,0.4016,-18.85,-0.4713,watchlist,below_breakeven,exclude_from_auto_a,Below break-even: wilson=0.402,,
NBA|action|sportsline|moneyline,NBA,moneyline,action|sportsline,suspicious_list,58,31,27,0,0.5345,0.408,-12.55,-0.2789,watchlist,below_breakeven,exclude_from_auto_a,Below break-even: wilson=0.408,,
NBA|action|juicereel_sxebets|player_prop,NBA,player_prop,action|juicereel_sxebets,,52,33,19,0,0.6346,0.4987,-11.62,-0.5054,watchlist,acceptable,keep_auto_a,Acceptable edge: wilson=0.499,,
NBA|action|dimers|oddstrader|spread,NBA,spread,action|dimers|oddstrader,suspicious_list,49,17,32,0,0.3469,0.2292,-25.38,-0.6508,watchlist,very_weak,exclude_from_auto_a,"Very weak: wilson=0.229, 17W-32L",,
NBA|betql|juicereel_sxebets|player_prop,NBA,player_prop,betql|juicereel_sxebets,suspicious_list,45,25,20,0,0.5556,0.4118,-5.58,-0.1801,watchlist,below_breakeven,exclude_from_auto_a,Below break-even: wilson=0.412,,
NBA|betql|dimers|total,NBA,total,betql|dimers,suspicious_list,45,26,19,0,0.5778,0.433,-19.04,-1.0021,watchlist,marginal,exclude_from_auto_a,"Marginal: wilson=0.433, insufficient edge",,
NBA|bettingpros_experts|oddstrader|moneyline,NBA,moneyline,bettingpros_experts|oddstrader,,44,30,14,0,0.6818,0.5344,1.26,0.036,watchlist,promising_low_n,needs_more_sample,Edge present but n=44 < 50,,
NBA|action|covers|player_prop,NBA,player_prop,action|covers,suspicious_list,44,25,18,1,0.5814,0.4333,-1.67,-0.0463,watchlist,marginal,exclude_from_auto_a,"Marginal: wilson=0.433, insufficient edge",,
NBA|action|dimers|sportsline|moneyline,NBA,moneyline,action|dimers|sportsline,suspicious_list,38,10,28,0,0.2632,0.1497,-25.66,-0.7775,watchlist,severe_loser,exclude_from_auto_a,"Severe: wilson=0.150, 10W-28L",,
NBA|bettingpros_experts|oddstrader|spread,NBA,spread,bettingpros_experts|oddstrader,suspicious_list,34,17,17,0,0.5,0.3407,-3.2,-0.0971,watchlist,very_weak,exclude_from_auto_a,"Very weak: wilson=0.341, 17W-17L",,
NBA|betql|dimers|player_prop,NBA,player_prop,betql|dimers,suspicious_list,32,12,20,0,0.375,0.2293,-7.51,-0.2348,watchlist,very_weak,exclude_from_auto_a,"Very weak: wilson=0.229, 12W-20L",,
NBA|action|sportsline|vegasinsider|spread,NBA,spread,action|sportsline|vegasinsider,suspicious_list,32,19,13,0,0.5938,0.4226,-1.96,-0.0784,watchlist,marginal,exclude_from_auto_a,"Marginal: wilson=0.423, insufficient edge",,
NBA|bettingpros_experts|oddstrader|total,NBA,total,bettingpros_experts|oddstrader,suspicious_list,31,12,19,0,0.3871,0.2373,-8.38,-0.2793,watchlist,very_weak,exclude_from_auto_a,"Very weak: wilson=0.237, 12W-19L",,
NBA|action|juicereel_nukethebooks|player_prop,NBA,player_prop,action|juicereel_nukethebooks,suspicious_list,31,12,19,0,0.3871,0.2373,-16.1,-0.7317,watchlist,very_weak,exclude_from_auto_a,"Very weak: wilson=0.237, 12W-19L",,
NBA|action|bettingpros_experts|dimers|spread,NBA,spread,action|bettingpros_experts|dimers,suspicious_list,30,8,22,0,0.2667,0.1418,-19.24,-0.7127,watchlist,severe_loser,exclude_from_auto_a,"Severe: wilson=0.142, 8W-22L",,
NBA|action|betql|vegasinsider|spread,NBA,spread,action|betql|vegasinsider,,33,20,10,3,0.6667,0.4878,-0.72,-0.0313,watchlist,promising_low_n,needs_more_sample,Edge present but n=30 < 50,,
NBA|covers|oddstrader|player_prop,NBA,player_prop,covers|oddstrader,suspicious_list,30,14,16,0,0.4667,0.3023,-7.91,-0.3166,watchlist,very_weak,exclude_from_auto_a,"Very weak: wilson=0.302, 14W-16L",,
NBA|bettingpros_props|oddstrader|player_prop,NBA,player_prop,bettingpros_props|oddstrader,suspicious_list,30,3,27,0,0.1,0.0346,-25.66,-0.8552,watchlist,severe_loser,exclude_from_auto_a,"Severe: wilson=0.035, 3W-27L",,
NBA|action|oddstrader|moneyline,NBA,moneyline,action|oddstrader,suspicious_list,29,17,12,0,0.5862,0.4074,-7.04,-0.4138,watchlist,marginal,exclude_from_auto_a,"Marginal: wilson=0.407, insufficient edge",,
NBA|sportsline|total,NBA,total,sportsline,suspicious_list,28,13,15,0,0.4643,0.2953,-5.01,-0.1928,watchlist,marginal,exclude_from_auto_a,"Marginal: wilson=0.295, insufficient edge",,
NBA|covers|spread,NBA,spread,covers,suspicious_list,26,12,14,0,0.4615,0.2876,-3.75,-0.1787,watchlist,marginal,exclude_from_auto_a,"Marginal: wilson=0.288, insufficient edge",,
NBA|action|betql|sportsline|spread,NBA,spread,action|betql|sportsline,suspicious_list,27,14,12,1,0.5385,0.3546,-6.52,-0.3429,watchlist,marginal,exclude_from_auto_a,"Marginal: wilson=0.355, insufficient edge",,
NBA|juicereel_nukethebooks|juicereel_sxebets|player_prop,NBA,player_prop,juicereel_nukethebooks|juicereel_sxebets,suspicious_list,27,10,15,2,0.4,0.234,-8.12,-0.3247,watchlist,marginal,exclude_from_auto_a,"Marginal: wilson=0.234, insufficient edge",,
NBA|betql|dimers|spread,NBA,spread,betql|dimers,suspicious_list,25,8,17,0,0.32,0.172,-14.74,-0.6698,watchlist,severe_loser,exclude_from_auto_a,"Severe: wilson=0.172, 8W-17L",,
NBA|action|betql|dimers|total,NBA,total,action|betql|dimers,,25,13,11,1,0.5417,0.3507,-9.61,-0.7388,insufficient_sample,low_sample,needs_more_sample,n=24 < 25,,
NBA|dimers|sportsline|moneyline,NBA,moneyline,dimers|sportsline,,24,15,9,0,0.625,0.4271,1.35,0.0562,insufficient_sample,low_sample,needs_more_sample,n=24 < 25,,
NBA|action|bettingpros_props|player_prop,NBA,player_prop,action|bettingpros_props,,24,15,9,0,0.625,0.4271,4.23,0.1841,insufficient_sample,low_sample,needs_more_sample,n=24 < 25,,
NBA|covers|juicereel_sxebets|player_prop,NBA,player_prop,covers|juicereel_sxebets,,23,11,12,0,0.4783,0.2924,-5.25,-0.25,insufficient_sample,low_sample,needs_more_sample,n=23 < 25,,
NBA|covers|sportsline|player_prop,NBA,player_prop,covers|sportsline,,22,14,7,1,0.6667,0.4537,6.56,0.2982,insufficient_sample,low_sample,needs_more_sample,n=21 < 25,,
NBA|bettingpros_props|covers|player_prop,NBA,player_prop,bettingpros_props|covers,,21,16,5,0,0.7619,0.5491,9.56,0.4552,insufficient_sample,low_sample,needs_more_sample,n=21 < 25,,
NBA|action|oddstrader|sportsline|spread,NBA,spread,action|oddstrader|sportsline,,20,8,12,0,0.4,0.2188,-8.54,-0.5338,insufficient_sample,low_sample,needs_more_sample,n=20 < 25,,
NBA|covers|dimers|player_prop,NBA,player_prop,covers|dimers,,20,12,8,0,0.6,0.3866,4.7,0.2351,insufficient_sample,low_sample,needs_more_sample,n=20 < 25,,
NBA|juicereel_sxebets|oddstrader|player_prop,NBA,player_prop,juicereel_sxebets|oddstrader,,20,13,7,0,0.65,0.4329,2.48,0.1773,insufficient_sample,low_sample,needs_more_sample,n=20 < 25,,
NBA|action|covers|total,NBA,total,action|covers,,19,14,5,0,0.7368,0.5121,-2.13,-0.2667,insufficient_sample,low_sample,needs_more_sample,n=19 < 25,,
NBA|action|covers|spread,NBA,spread,action|covers,,19,6,13,0,0.3158,0.1536,-10.32,-0.6453,insufficient_sample,low_sample,needs_more_sample,n=19 < 25,,
NBA|action|oddstrader|vegasinsider|spread,NBA,spread,action|oddstrader|vegasinsider,,19,7,12,0,0.3684,0.1915,-6.02,-0.3539,insufficient_sample,low_sample,needs_more_sample,n=19 < 25,,
NBA|action|betql|bettingpros_experts|spread,NBA,spread,action|betql|bettingpros_experts,,18,10,8,0,0.5556,0.3372,-4.23,-0.3528,insufficient_sample,low_sample,needs_more_sample,n=18 < 25,,
NBA|covers|total,NBA,total,covers,,18,8,10,0,0.4444,0.2456,-4.69,-0.2929,insufficient_sample,low_sample,needs_more_sample,n=18 < 25,,
NBA|action|covers|vegasinsider|spread,NBA,spread,action|covers|vegasinsider,,18,10,8,0,0.5556,0.3372,-0.87,-0.0581,insufficient_sample,low_sample,needs_more_sample,n=18 < 25,,
NBA|action|sportsline|player_prop,NBA,player_prop,action|sportsline,,18,9,9,0,0.5,0.2903,0.02,0.0011,insufficient_sample,low_sample,needs_more_sample,n=18 < 25,,
NBA|bettingpros_experts|sportsline|spread,NBA,spread,bettingpros_experts|sportsline,,18,7,11,0,0.3889,0.203,-4.85,-0.2694,insufficient_sample,low_sample,needs_more_sample,n=18 < 25,,
NBA|bettingpros_props|sportsline|player_prop,NBA,player_prop,bettingpros_props|sportsline,,18,18,0,0,1.0,0.8241,17.22,0.9564,insufficient_sample,low_sample,needs_more_sample,n=18 < 25,,
NBA|betql|juicereel_nukethebooks|player_prop,NBA,player_prop,betql|juicereel_nukethebooks,,17,7,10,0,0.4118,0.2161,-5.56,-0.3707,insufficient_sample,low_sample,needs_more_sample,n=17 < 25,,
NBA|action|vegasinsider|moneyline,NBA,moneyline,action|vegasinsider,,17,9,8,0,0.5294,0.3096,-2.23,-0.1716,insufficient_sample,low_sample,needs_more_sample,n=17 < 25,,
NBA|dimers|oddstrader|spread,NBA,spread,dimers|oddstrader,,17,12,5,0,0.7059,0.4687,-0.14,-0.0141,insufficient_sample,low_sample,needs_more_sample,n=17 < 25,,
NBA|dimers|oddstrader|total,NBA,total,dimers|oddstrader,,17,10,7,0,0.5882,0.3601,-1.56,-0.13,insufficient_sample,low_sample,needs_more_sample,n=17 < 25,,
NBA|sportsline|team_total,NBA,team_total,sportsline,,16,10,6,0,0.625,0.3864,3.0,0.1874,insufficient_sample,low_sample,needs_more_sample,n=16 < 25,,
NBA|action|betql|dimers|spread,NBA,spread,action|betql|dimers,,15,15,0,0,1.0,0.7961,7.81,0.9765,insufficient_sample,low_sample,needs_more_sample,n=15 < 25,,
NBA|action|bettingpros_experts|moneyline,NBA,moneyline,action|bettingpros_experts,,15,4,11,0,0.2667,0.109,-7.91,-0.5648,insufficient_sample,low_sample,needs_more_sample,n=15 < 25,,
NBA|covers|moneyline,NBA,moneyline,covers,,15,5,10,0,0.3333,0.1518,-4.77,-0.3404,insufficient_sample,low_sample,needs_more_sample,n=15 < 25,,
NBA|action|sportsline|total,NBA,total,action|sportsline,,15,5,10,0,0.3333,0.1518,-8.35,-0.696,insufficient_sample,low_sample,needs_more_sample,n=15 < 25,,
NBA|dimers|vegasinsider|spread,NBA,spread,dimers|vegasinsider,,15,5,10,0,0.3333,0.1518,-6.38,-0.4556,insufficient_sample,low_sample,needs_more_sample,n=15 < 25,,
NBA|action|betql|dimers|vegasinsider|spread,NBA,spread,action|betql|dimers|vegasinsider,,16,8,7,1,0.5333,0.3012,-3.28,-0.2729,insufficient_sample,low_sample,needs_more_sample,n=15 < 25,,
NBA|action|vegasinsider|total,NBA,total,action|vegasinsider,,15,11,3,1,0.7857,0.5241,-1.14,-0.19,insufficient_sample,low_sample,needs_more_sample,n=14 < 25,,
NBA|action|dimers|vegasinsider|spread,NBA,spread,action|dimers|vegasinsider,,14,8,6,0,0.5714,0.3259,-2.08,-0.2085,insufficient_sample,low_sample,needs_more_sample,n=14 < 25,,
NBA|betql|covers|oddstrader|player_prop,NBA,player_prop,betql|covers|oddstrader,,14,6,8,0,0.4286,0.2138,-3.49,-0.2688,insufficient_sample,low_sample,needs_more_sample,n=14 < 25,,
NBA|vegasinsider|total,NBA,total,vegasinsider,,14,8,6,0,0.5714,0.3259,0.51,0.0392,insufficient_sample,low_sample,needs_more_sample,n=14 < 25,,
NBA|dimers|oddstrader|moneyline,NBA,moneyline,dimers|oddstrader,,13,5,8,0,0.3846,0.1771,-4.83,-0.4832,insufficient_sample,low_sample,needs_more_sample,n=13 < 25,,
NBA|vegasinsider|spread,NBA,spread,vegasinsider,,13,7,6,0,0.5385,0.2914,0.37,0.0284,insufficient_sample,low_sample,needs_more_sample,n=13 < 25,,
NBA|action|betql|bettingpros_experts|total,NBA,total,action|betql|bettingpros_experts,,12,6,6,0,0.5,0.2538,-6.3,-1.05,insufficient_sample,low_sample,needs_more_sample,n=12 < 25,,
NBA|sportsline|vegasinsider|spread,NBA,spread,sportsline|vegasinsider,,12,12,0,0,1.0,0.7575,9.44,0.9444,insufficient_sample,low_sample,needs_more_sample,n=12 < 25,,
NBA|vegasinsider|player_prop,NBA,player_prop,vegasinsider,,12,4,8,0,0.3333,0.1381,-3.65,-0.3041,insufficient_sample,low_sample,needs_more_sample,n=12 < 25,,
NBA|bettingpros_experts|dimers|oddstrader|spread,NBA,spread,bettingpros_experts|dimers|oddstrader,,12,2,10,0,0.1667,0.047,-9.23,-0.839,insufficient_sample,low_sample,needs_more_sample,n=12 < 25,,
NBA|dimers|sportsline|spread,NBA,spread,dimers|sportsline,,13,5,7,1,0.4167,0.1933,-3.33,-0.2777,insufficient_sample,low_sample,needs_more_sample,n=12 < 25,,
NBA|action|bettingpros_experts|dimers|moneyline,NBA,moneyline,action|bettingpros_experts|dimers,,11,8,3,0,0.7273,0.4343,0.94,0.1171,insufficient_sample,low_sample,needs_more_sample,n=11 < 25,,
NBA|action|oddstrader|total,NBA,total,action|oddstrader,,11,5,6,0,0.4545,0.2127,-4.14,-0.5175,insufficient_sample,low_sample,needs_more_sample,n=11 < 25,,
NBA|betql|bettingpros_experts|total,NBA,total,betql|bettingpros_experts,,11,7,4,0,0.6364,0.3538,-3.07,-0.5117,insufficient_sample,low_sample,needs_more_sample,n=11 < 25,,
NBA|action|bettingpros_experts|vegasinsider|spread,NBA,spread,action|bettingpros_experts|vegasinsider,,11,9,2,0,0.8182,0.523,4.33,0.4807,insufficient_sample,low_sample,needs_more_sample,n=11 < 25,,
NBA|bettingpros_experts|dimers|moneyline,NBA,moneyline,bettingpros_experts|dimers,,10,7,3,0,0.7,0.3968,4.2,0.4198,insufficient_sample,low_sample,needs_more_sample,n=10 < 25,,
NBA|oddstrader|sportsline|spread,NBA,spread,oddstrader|sportsline,,10,7,3,0,0.7,0.3968,-0.19,-0.0323,insufficient_sample,low_sample,needs_more_sample,n=10 < 25,,
NBA|covers|dimers|spread,NBA,spread,covers|dimers,,10,7,3,0,0.7,0.3968,1.81,0.201,insufficient_sample,low_sample,needs_more_sample,n=10 < 25,,
NBA|betql|vegasinsider|spread,NBA,spread,betql|vegasinsider,,10,3,7,0,0.3,0.1078,-6.22,-0.7776,insufficient_sample,low_sample,needs_more_sample,n=10 < 25,,
NBA|betql|covers|juicereel_sxebets|player_prop,NBA,player_prop,betql|covers|juicereel_sxebets,,10,8,2,0,0.8,0.4902,10.54,1.0539,insufficient_sample,low_sample,needs_more_sample,n=10 < 25,,
NBA|action|oddstrader|player_prop,NBA,player_prop,action|oddstrader,,10,7,3,0,0.7,0.3968,3.39,0.3394,insufficient_sample,low_sample,needs_more_sample,n=10 < 25,,
NBA|juicereel_nukethebooks|total,NBA,total,juicereel_nukethebooks,,10,8,2,0,0.8,0.4902,5.54,0.554,insufficient_sample,low_sample,needs_more_sample,n=10 < 25,,
NBA|bettingpros_5star|moneyline,NBA,moneyline,bettingpros_5star,,10,1,9,0,0.1,0.0179,-1.2,-0.1195,insufficient_sample,low_sample,needs_more_sample,n=10 < 25,,
NBA|action|betql|dimers|sportsline|spread,NBA,spread,action|betql|dimers|sportsline,,9,6,3,0,0.6667,0.3542,-1.86,-0.3716,insufficient_sample,low_sample,needs_more_sample,n=9 < 25,,
NBA|action|bettingpros_experts|sportsline|spread,NBA,spread,action|bettingpros_experts|sportsline,,9,3,6,0,0.3333,0.1206,-4.36,-0.5449,insufficient_sample,low_sample,needs_more_sample,n=9 < 25,,
NBA|action|bettingpros_experts|oddstrader|vegasinsider|spread,NBA,spread,action|bettingpros_experts|oddstrader|vegasinsider,,9,3,6,0,0.3333,0.1206,-4.51,-0.5636,insufficient_sample,low_sample,needs_more_sample,n=9 < 25,,
NBA|betql|dimers|vegasinsider|spread,NBA,spread,betql|dimers|vegasinsider,,9,5,4,0,0.5556,0.2666,-1.76,-0.251,insufficient_sample,low_sample,needs_more_sample,n=9 < 25,,
NBA|betql|covers|dimers|player_prop,NBA,player_prop,betql|covers|dimers,,8,7,1,0,0.875,0.5291,6.11,0.7635,insufficient_sample,low_sample,needs_more_sample,n=8 < 25,,
NBA|betql|oddstrader|spread,NBA,spread,betql|oddstrader,,8,4,4,0,0.5,0.2152,-2.05,-0.3413,insufficient_sample,low_sample,needs_more_sample,n=8 < 25,,
NBA|action|juicereel_nukethebooks|moneyline,NBA,moneyline,action|juicereel_nukethebooks,,8,6,2,0,0.75,0.4093,-2.0,-1.0,insufficient_sample,low_sample,needs_more_sample,n=8 < 25,,
NBA|action|bettingpros_experts|oddstrader|spread,NBA,spread,action|bettingpros_experts|oddstrader,,8,6,2,0,0.75,0.4093,-0.32,-0.08,insufficient_sample,low_sample,needs_more_sample,n=8 < 25,,
NBA|dimers|oddstrader|player_prop,NBA,player_prop,dimers|oddstrader,,8,4,4,0,0.5,0.2152,-0.82,-0.1171,insufficient_sample,low_sample,needs_more_sample,n=8 < 25,,
NBA|covers|vegasinsider|spread,NBA,spread,covers|vegasinsider,,8,2,6,0,0.25,0.0715,-3.66,-0.457,insufficient_sample,low_sample,needs_more_sample,n=8 < 25,,
NBA|juicereel_nukethebooks|sportsline|player_prop,NBA,player_prop,juicereel_nukethebooks|sportsline,,8,7,1,0,0.875,0.5291,5.68,0.7096,insufficient_sample,low_sample,needs_more_sample,n=8 < 25,,
NBA|juicereel_nukethebooks|moneyline,NBA,moneyline,juicereel_nukethebooks,,8,2,6,0,0.25,0.0715,-3.2,-0.3998,insufficient_sample,low_sample,needs_more_sample,n=8 < 25,,
NBA|action|betql|covers|spread,NBA,spread,action|betql|covers,,8,3,5,0,0.375,0.1368,-3.11,-0.4443,insufficient_sample,low_sample,needs_more_sample,n=8 < 25,,
NBA|action|betql|bettingpros_experts|vegasinsider|spread,NBA,spread,action|betql|bettingpros_experts|vegasinsider,,8,6,2,0,0.75,0.4093,1.51,0.2512,insufficient_sample,low_sample,needs_more_sample,n=8 < 25,,
