sport,severity,issue_type,file,source,date,event_key,matchup_key,selection,player_key,details,count
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR,,,market_type=player_prop,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,market_type=player_prop,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,,,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:TBR@CLE,MLB:2026:04:27:CLE-TBR,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:TBR@CLE,MLB:2026:04:27:CLE-TBR,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:TBR@CLE,MLB:2026:04:27:CLE-TBR,,,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:TBR@CLE,MLB:2026:04:27:CLE-TBR,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:TBR@CLE,MLB:2026:04:27:CLE-TBR,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:TBR@CLE,MLB:2026:04:27:CLE-TBR,,,market_type=player_prop,1
