sport,source_combo,source,market_type,n,wins,losses,pushes,win_rate,units,roi,avg_odds,confidence_bucket
NBA,action|betql|sportsline,sportsline,total,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|betql|sportsline|vegasinsider,action,spread,2,2,0,0,1.0,1.91,0.955,-110.0,very_low
NBA,action|betql|sportsline|vegasinsider,action|betql|sportsline|vegasinsider,spread,2,2,0,0,1.0,1.91,0.955,-110.0,very_low
NBA,action|betql|sportsline|vegasinsider,betql,spread,2,2,0,0,1.0,1.91,0.955,-110.0,very_low
NBA,action|betql|sportsline|vegasinsider,sportsline,spread,2,2,0,0,1.0,1.91,0.955,-110.0,very_low
NBA,action|betql|sportsline|vegasinsider,vegasinsider,spread,2,2,0,0,1.0,1.91,0.955,-110.0,very_low
NBA,action|betql|vegasinsider,action,player_prop,1,1,0,0,1.0,0.97,0.971,-105.0,very_low
NBA,action|betql|vegasinsider,action,spread,9,7,2,0,0.7778,4.54,0.5048,-110.9,very_low
NBA,action|betql|vegasinsider,action|betql|vegasinsider,player_prop,1,1,0,0,1.0,0.97,0.971,-105.0,very_low
NBA,action|betql|vegasinsider,action|betql|vegasinsider,spread,9,7,2,0,0.7778,4.54,0.5048,-110.9,very_low
NBA,action|betql|vegasinsider,betql,player_prop,1,1,0,0,1.0,0.97,0.971,-105.0,very_low
NBA,action|betql|vegasinsider,betql,spread,9,7,2,0,0.7778,4.54,0.5048,-110.9,very_low
NBA,action|betql|vegasinsider,vegasinsider,player_prop,1,1,0,0,1.0,0.97,0.971,-105.0,very_low
NBA,action|betql|vegasinsider,vegasinsider,spread,9,7,2,0,0.7778,4.54,0.5048,-110.9,very_low
NBA,action|bettingpros_5star,action,total,1,0,1,0,0.0,-1.02,-1.02,-105.0,very_low
NBA,action|bettingpros_5star,action|bettingpros_5star,total,1,0,1,0,0.0,-1.02,-1.02,-105.0,very_low
NBA,action|bettingpros_5star,bettingpros_5star,total,1,0,1,0,0.0,-1.02,-1.02,-105.0,very_low
NBA,action|bettingpros_5star|sportsline|vegasinsider,action,spread,2,0,2,0,0.0,-2.1,-1.05,-110.0,very_low
NBA,action|bettingpros_5star|sportsline|vegasinsider,action|bettingpros_5star|sportsline|vegasinsider,spread,2,0,2,0,0.0,-2.1,-1.05,-110.0,very_low
NBA,action|bettingpros_5star|sportsline|vegasinsider,bettingpros_5star,spread,2,0,2,0,0.0,-2.1,-1.05,-110.0,very_low
NBA,action|bettingpros_5star|sportsline|vegasinsider,sportsline,spread,2,0,2,0,0.0,-2.1,-1.05,-110.0,very_low
NBA,action|bettingpros_5star|sportsline|vegasinsider,vegasinsider,spread,2,0,2,0,0.0,-2.1,-1.05,-110.0,very_low
