sport,source_combo,source,market_type,n,wins,losses,pushes,win_rate,units,roi,avg_odds,confidence_bucket
NBA,action|oddstrader,oddstrader,player_prop,3,0,3,0,0.0,-3.12,-1.04,-42.3,very_low
NBA,action|oddstrader,oddstrader,spread,1,1,0,0,1.0,0.95,0.955,-110.0,very_low
NBA,action|oddstrader|sportsline|vegasinsider,action,spread,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|oddstrader|sportsline|vegasinsider,action|oddstrader|sportsline|vegasinsider,spread,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|oddstrader|sportsline|vegasinsider,oddstrader,spread,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|oddstrader|sportsline|vegasinsider,sportsline,spread,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|oddstrader|sportsline|vegasinsider,vegasinsider,spread,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|oddstrader|vegasinsider,action,spread,3,1,2,0,0.3333,-0.39,-0.13,457.0,very_low
NBA,action|oddstrader|vegasinsider,action|oddstrader|vegasinsider,spread,3,1,2,0,0.3333,-0.39,-0.13,457.0,very_low
NBA,action|oddstrader|vegasinsider,oddstrader,spread,3,1,2,0,0.3333,-0.39,-0.13,457.0,very_low
NBA,action|oddstrader|vegasinsider,vegasinsider,spread,3,1,2,0,0.3333,-0.39,-0.13,457.0,very_low
NBA,action|sportsline,action,player_prop,9,4,5,0,0.4444,-0.55,-0.0616,72.8,very_low
NBA,action|sportsline,action,spread,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|sportsline,action|sportsline,player_prop,9,4,5,0,0.4444,-0.55,-0.0616,72.8,very_low
NBA,action|sportsline,action|sportsline,spread,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|sportsline,sportsline,player_prop,9,4,5,0,0.4444,-0.55,-0.0616,72.8,very_low
NBA,action|sportsline,sportsline,spread,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|sportsline|vegasinsider,action,spread,3,3,0,0,1.0,2.88,0.9603,-108.3,very_low
NBA,action|sportsline|vegasinsider,action|sportsline|vegasinsider,spread,3,3,0,0,1.0,2.88,0.9603,-108.3,very_low
NBA,action|sportsline|vegasinsider,sportsline,spread,3,3,0,0,1.0,2.88,0.9603,-108.3,very_low
NBA,action|sportsline|vegasinsider,vegasinsider,spread,3,3,0,0,1.0,2.88,0.9603,-108.3,very_low
NBA,action|vegasinsider,action,moneyline,4,2,2,0,0.5,0.77,0.1933,155.2,very_low
NBA,action|vegasinsider,action,spread,19,7,12,0,0.3684,-6.04,-0.3179,-111.5,very_low
NBA,action|vegasinsider,action,total,1,1,0,0,1.0,0.95,0.955,-110.0,very_low
NBA,action|vegasinsider,action|vegasinsider,moneyline,4,2,2,0,0.5,0.77,0.1933,155.2,very_low
NBA,action|vegasinsider,action|vegasinsider,spread,19,7,12,0,0.3684,-6.04,-0.3179,-111.5,very_low
NBA,action|vegasinsider,action|vegasinsider,total,1,1,0,0,1.0,0.95,0.955,-110.0,very_low
NBA,action|vegasinsider,vegasinsider,moneyline,4,2,2,0,0.5,0.77,0.1933,155.2,very_low
NBA,action|vegasinsider,vegasinsider,spread,19,7,12,0,0.3684,-6.04,-0.3179,-111.5,very_low
NBA,action|vegasinsider,vegasinsider,total,1,1,0,0,1.0,0.95,0.955,-110.0,very_low
NBA,betql,betql,player_prop,172,84,88,0,0.4884,-10.27,-0.0597,-42.9,high
