pick_id,date,sport,game_label,bet_label,market,selection,line,auto_tier,tier_reason,support_count,pattern_name,auto_included,wilson_score,confidence_score,gate_reason,source_list
7e6205f1e6f1189d6327dd99de06e11eba1ab30fad3f7ccc3732a5c7ef561bed,2026-04-23,NBA,CLE @ TOR,Rj Barrett UNDER 3.5 assists,player_prop,NBA:rj_barrett::assists::UNDER,3.5,B,"B:, pattern 'action assists prop UNDER' (59-30, 66.3%), Wilson 0.536, 1 source, record 249-203 (55.2%, n=452, combo_market_stat), confidence 40/100, adj: recency +0.030, line_bucket +0.010",1,action assists prop UNDER,True,0.5357,40,,action
24f7d7c5396f747275133cba0ff89ff6a1fc340e4bda713191bf87b6bab9746b,2026-04-23,NBA,NYK @ ATL,Jalen Brunson OVER 26.0 points,player_prop,NBA:jalen_brunson::points::OVER,26.0,B,"B:, pattern 'Markus Markets (expert)' (131-93, 58.5%), Wilson 0.535, 1 source, record 914-915 (50.0%, n=1829, combo_market_stat), confidence 39/100, adj: stat +0.010, line_bucket +0.010",1,Markus Markets (expert),True,0.5348,39,,action
cd90d432d4131fdbb9055a7472d104341e16d8df14b965c349e4fe6d7271d664,2026-04-23,NBA,NYK @ ATL,Josh Hart UNDER 13.5 reb+ast,player_prop,NBA:josh_hart::reb_ast::UNDER,13.5,B,"B:, pattern 'OddsTrader reb+ast prop UNDER' (16-8, 66.7%), Wilson 0.532, 1 source, record 192-157 (55.0%, n=349, combo_market_stat), confidence 38/100, adj: recency +0.020, stat +0.010, line_bucket +0.010",1,OddsTrader reb+ast prop UNDER,True,0.5321,38,,oddstrader
f1c9b63a555644a01958c1c800cf143e892045af7098b95c81335545fb40e279,2026-04-23,NBA,CLE @ TOR,James Harden OVER 10.5 reb+ast,player_prop,NBA:james_harden::reb_ast::OVER,10.5,B,"B:, pattern 'sportsline player prop OVER' (775-682, 53.2%), Wilson 0.526, 1 source, record 60-54 (52.6%, n=114, combo_market_stat), confidence 35/100, adj: recency -0.020, expert +0.015, stat +0.010, line_bucket +0.010",1,sportsline player prop OVER,True,0.5262,35,,sportsline
daf8950d0929af0a9d5f64588d44cb4be9ba582d67854e5adf3ece55ff46b7eb,2026-04-23,NBA,DEN @ MIN,Jaden Mcdaniels OVER 14.5 points,player_prop,NBA:jaden_mcdaniels::points::OVER,14.5,B,"B:, pattern 'Markus Markets (expert)' (131-93, 58.5%), Wilson 0.511, 1 source, record 914-915 (50.0%, n=1829, combo_market_stat), confidence 27/100, adj: stat +0.010, line_bucket +0.010",1,Markus Markets (expert),True,0.5109,27,,action
bfd019fdb1126a6f9b3bc58e32a31cec346387faae80db622ad800fa0e937c92,2026-04-23,NBA,CLE @ TOR,C Boyles OVER 10.5 points,player_prop,NBA:c_boyles::points::OVER,10.5,B,"B:, pattern 'sportsline player prop OVER' (775-682, 53.2%), Wilson 0.509, 1 source, record 464-410 (53.1%, n=874, combo_market_stat), confidence 26/100, adj: recency -0.020, stat +0.010, line_bucket +0.010",1,sportsline player prop OVER,True,0.5094,26,,sportsline
8da4fa76b22c16aaff99b4905cfcdb90604c3669c843ab2c9ee53009f54c98f2,2026-04-23,NBA,DEN @ MIN,Aaron Gordon OVER 14.5 points,player_prop,NBA:aaron_gordon::points::OVER,14.5,B,"B:, pattern 'sportsline player prop OVER' (775-682, 53.2%), Wilson 0.506, 1 source, record 464-410 (53.1%, n=874, combo_market_stat), confidence 24/100, adj: recency -0.020, stat +0.010, line_bucket +0.010",1,sportsline player prop OVER,True,0.5061,24,,sportsline
ea7362a8b08ef613a8b0caefb04ce8be8ab74925fd54d412be7bfbb579b5d5b1,2026-04-23,NBA,CLE @ TOR,Jarrett Allen UNDER 12.5 points,player_prop,NBA:jarrett_allen::points::UNDER,12.5,B,"B:, pattern 'betql player prop UNDER' (2832-2336, 54.8%), Wilson 0.500, 1 source, record 3344-3168 (51.4%, n=6512, combo_market_stat), confidence 21/100, adj: recency -0.010, stat +0.010, line_bucket +0.010",1,betql player prop UNDER,True,0.4999,21,,betql
fe2486a184b28504f5d662d7eacd6ffc38a61a0d2545e6027da6de25ab57d144,2026-04-23,NBA,DEN @ MIN,Christian Braun UNDER 11.5 points,player_prop,NBA:christian_braun::points::UNDER,11.5,B,"B:, pattern 'betql player prop UNDER' (2832-2336, 54.8%), Wilson 0.500, 1 source, record 3344-3168 (51.4%, n=6512, combo_market_stat), confidence 21/100, adj: recency -0.010, stat +0.010, line_bucket +0.010",1,betql player prop UNDER,True,0.4999,21,,betql
f122882a435e3d6952c220eef5501e2df7005cc8f652e87c082cb4a1781295e7,2026-04-23,NBA,DEN @ MIN,T Hardaway UNDER 10.5 points,player_prop,NBA:t_hardaway::points::UNDER,10.5,B,"B:, pattern 'betql player prop UNDER' (2832-2336, 54.8%), Wilson 0.500, 1 source, record 3344-3168 (51.4%, n=6512, combo_market_stat), confidence 21/100, adj: recency -0.010, stat +0.010, line_bucket +0.010",1,betql player prop UNDER,True,0.4999,21,,betql
ab0f6ca30e9bd7f625fc9caf92e64f9da9effd0df192f56f54f5164b895d286a,2026-04-23,NBA,CLE @ TOR,TOR +3.5 (CLE@TOR),spread,TOR,3.5,B,"B:, pattern 'action spread' (553-490, 53.0%), Wilson 0.499, 1 source, record 728-646 (53.2%, n=1374, combo_market), confidence 20/100",1,action spread,True,0.4988,20,,action
6ad3f89569199ec3e248889d3606f2ea8419317b1209573d829cce5e388ff157,2026-04-23,NBA,DEN @ MIN,UNDER 232.5 (DEN@MIN),total,UNDER,232.5,B,"B:, no pattern match, Wilson 0.497, 3 sources, record 19-11 (67.9%, n=30, combo_overall), confidence 19/100, adj: recency +0.030, expert +0.015",3,,True,0.497,19,,action|betql|vegasinsider
7d1a2eff8dee56ff45a310d249478f936ce77f396f9635656c68b123f761dd69,2026-04-23,NBA,DEN @ MIN,Nikola Jokic OVER 1.5 3-pointers,player_prop,NBA:nikola_jokic::threes::OVER,1.5,B,"B:, pattern 'Markus Markets (expert)' (131-93, 58.5%), Wilson 0.497, 1 source, record 131-93 (58.5%, n=224, pattern_hist), confidence 19/100, adj: stat -0.010, line_bucket +0.010",1,Markus Markets (expert),True,0.497,19,,action
75a5c573ff08bf61325e1e8d453dbbe68d486080c0523f2d955d9f86db5dcc80,2026-04-23,NBA,NYK @ ATL,UNDER 214.5 (NYK@ATL),total,UNDER,214.5,B,"B:, no pattern match, Wilson 0.479, 2 sources, record 11-4 (78.6%, n=15, combo_market), confidence 10/100, adj: line_bucket +0.010",2,,True,0.4795,10,,action|vegasinsider
5e86996d340a8d95ad9ab6a9e3a90e43c4b4de6f025ee85bb96ea5a1f8bab422,2026-04-23,NBA,NYK @ ATL,ATL +1.5 (NYK@ATL),spread,ATL,1.5,B,"B:, no pattern match, Wilson 0.476, 3 sources, record 7-12 (36.8%, n=19, combo_market), confidence 9/100, adj: recency -0.020, expert +0.015",3,,True,0.4763,9,,action|oddstrader|vegasinsider
6b5ba448f0df04a0aa448b88858e0b2dc48c20b29f15613315fdf7c51bb633dc,2026-04-23,NBA,NYK @ ATL,Dyson Daniels OVER 11.5 reb+ast,player_prop,NBA:dyson_daniels::reb_ast::OVER,11.5,C,"C:, no pattern match, Wilson 0.532, 1 source, record 192-157 (55.0%, n=349, combo_market_stat), confidence 38/100, adj: recency +0.020, stat +0.010, line_bucket +0.010",1,,True,0.5321,38,,oddstrader
