sport,date,player_name,player_key,team,opponent,stat_type,selection,line,odds,source,eligible_for_consensus,event_key,matchup_key
NBA,2026-04-21,Kevin Durant,NBA:kevin_durant,HOU,LAL,pts_ast,NBA:kevin_durant::pts_ast::OVER,28.5,115,bettingpros_props,True,NBA:2026:04:21:HOU@LAL,NBA:2026:04:21:HOU-LAL
NBA,2026-04-21,Sam Hauser,NBA:sam_hauser,BOS,PHI,pts_reb,NBA:sam_hauser::pts_reb::OVER,11.5,-110,bettingpros_props,True,NBA:2026:04:21:PHI@BOS,NBA:2026:04:21:BOS-PHI
NBA,2026-04-21,Robert Williams III,NBA:robert_williams_iii,POR,SAS,pts_reb,NBA:robert_williams_iii::pts_reb::OVER,12.5,105,bettingpros_props,True,NBA:2026:04:21:POR@SAS,NBA:2026:04:21:POR-SAS
NBA,2026-04-21,Quentin Grimes,NBA:quentin_grimes,PHI,BOS,pts_reb,NBA:quentin_grimes::pts_reb::OVER,11.5,105,bettingpros_props,True,NBA:2026:04:21:PHI@BOS,NBA:2026:04:21:BOS-PHI
NBA,2026-04-21,Jrue Holiday,NBA:jrue_holiday,POR,SAS,pts_reb,NBA:jrue_holiday::pts_reb::OVER,20.5,-103,bettingpros_props,True,NBA:2026:04:21:POR@SAS,NBA:2026:04:21:POR-SAS
NBA,2026-04-21,Dylan Harper,NBA:dylan_harper,SAS,POR,reb_ast,NBA:dylan_harper::reb_ast::OVER,5.5,-135,bettingpros_props,True,NBA:2026:04:21:POR@SAS,NBA:2026:04:21:POR-SAS
NBA,2026-04-21,Victor Wembanyama,NBA:victor_wembanyama,SAS,POR,pts_reb_ast,NBA:victor_wembanyama::pts_reb_ast::OVER,42.5,-111,bettingpros_props,True,NBA:2026:04:21:POR@SAS,NBA:2026:04:21:POR-SAS
NBA,2026-04-21,Matisse Thybulle,NBA:matisse_thybulle,POR,SAS,points,NBA:matisse_thybulle::points::OVER,3.5,-102,bettingpros_props,True,NBA:2026:04:21:POR@SAS,NBA:2026:04:21:POR-SAS
NBA,2026-04-21,Matisse Thybulle,NBA:matisse_thybulle,POR,SAS,pts_reb_ast,NBA:matisse_thybulle::pts_reb_ast::OVER,6.5,-120,bettingpros_props,True,NBA:2026:04:21:POR@SAS,NBA:2026:04:21:POR-SAS
NBA,2026-04-21,Keldon Johnson,NBA:keldon_johnson,SAS,POR,pts_reb_ast,NBA:keldon_johnson::pts_reb_ast::OVER,15.5,-105,bettingpros_props,True,NBA:2026:04:21:POR@SAS,NBA:2026:04:21:POR-SAS
NBA,2026-04-21,Alperen Sengun,NBA:alperen_sengun,HOU,LAL,points,NBA:alperen_sengun::points::OVER,18.5,122,bettingpros_props,True,NBA:2026:04:21:HOU@LAL,NBA:2026:04:21:HOU-LAL
NBA,2026-04-21,Jrue Holiday,NBA:jrue_holiday,POR,SAS,points,NBA:jrue_holiday::points::OVER,15.5,-104,bettingpros_props,True,NBA:2026:04:21:POR@SAS,NBA:2026:04:21:POR-SAS
NBA,2026-04-21,Jayson Tatum,NBA:jayson_tatum,BOS,PHI,pts_ast,NBA:jayson_tatum::pts_ast::OVER,29.5,-102,bettingpros_props,True,NBA:2026:04:21:PHI@BOS,NBA:2026:04:21:BOS-PHI
NBA,2026-04-21,Keldon Johnson,NBA:keldon_johnson,SAS,POR,pts_reb,NBA:keldon_johnson::pts_reb::OVER,14.5,100,bettingpros_props,True,NBA:2026:04:21:POR@SAS,NBA:2026:04:21:POR-SAS
NBA,2026-04-21,Payton Pritchard,NBA:payton_pritchard,BOS,PHI,reb_ast,NBA:payton_pritchard::reb_ast::OVER,7.5,-127,bettingpros_props,True,NBA:2026:04:21:PHI@BOS,NBA:2026:04:21:BOS-PHI
NBA,2026-04-23,Karl Anthony Towns,NBA:karl_anthony_towns,,,threes,NBA:karl_anthony_towns::threes::OVER,1.5,120,betql,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-23,Dyson Daniels,NBA:dyson_daniels,,,points,NBA:dyson_daniels::points::OVER,9.5,-114,betql,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-23,James Harden,NBA:james_harden,,,points,NBA:james_harden::points::OVER,19.5,-114,betql,True,NBA:2026:04:23:CLE@TOR,NBA:2026:04:23:CLE-TOR
NBA,2026-04-23,Jarrett Allen,NBA:jarrett_allen,,,points,NBA:jarrett_allen::points::UNDER,12.5,-101,betql,True,NBA:2026:04:23:CLE@TOR,NBA:2026:04:23:CLE-TOR
NBA,2026-04-23,Christian Braun,NBA:christian_braun,,,points,NBA:christian_braun::points::UNDER,11.5,100,betql,True,NBA:2026:04:23:DEN@MIN,NBA:2026:04:23:DEN-MIN
NBA,2026-04-23,Tim Hardaway Jr,NBA:tim_hardaway_jr,,,points,NBA:tim_hardaway_jr::points::UNDER,10.5,-124,betql,True,NBA:2026:04:23:DEN@MIN,NBA:2026:04:23:DEN-MIN
NBA,2026-04-23,Og Anunoby,NBA:og_anunoby,,,points,NBA:og_anunoby::points::OVER,15.5,-112,covers,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-23,Jalen Brunson,NBA:jalen_brunson,,,points,NBA:jalen_brunson::points::UNDER,26.5,-107,covers,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-23,Donovan Mitchell,NBA:donovan_mitchell,,,points,NBA:donovan_mitchell::points::OVER,27.5,-112,covers,True,NBA:2026:04:23:CLE@TOR,NBA:2026:04:23:CLE-TOR
NBA,2026-04-23,Donovan Mitchell,NBA:donovan_mitchell,,,assists,NBA:donovan_mitchell::assists::OVER,4.5,125,covers,True,NBA:2026:04:23:CLE@TOR,NBA:2026:04:23:CLE-TOR
NBA,2026-04-23,Donovan Mitchell,NBA:donovan_mitchell,,,points,NBA:donovan_mitchell::points::UNDER,27.5,-122,covers,True,NBA:2026:04:23:CLE@TOR,NBA:2026:04:23:CLE-TOR
NBA,2026-04-23,Anthony Edwards,NBA:anthony_edwards,,,rebounds,NBA:anthony_edwards::rebounds::OVER,5.5,-120,covers,True,NBA:2026:04:23:DEN@MIN,NBA:2026:04:23:DEN-MIN
NBA,2026-04-23,Naz Reid,NBA:naz_reid,,,points,NBA:naz_reid::points::OVER,10.5,-128,covers,True,NBA:2026:04:23:DEN@MIN,NBA:2026:04:23:DEN-MIN
NBA,2026-04-23,Donte Divincenzo,NBA:donte_divincenzo,,,points,NBA:donte_divincenzo::points::OVER,9.5,-142,covers,True,NBA:2026:04:23:DEN@MIN,NBA:2026:04:23:DEN-MIN
NBA,2026-04-23,Donte Divincenzo,NBA:donte_divincenzo,,,assists,NBA:donte_divincenzo::assists::OVER,3.5,123,covers,True,NBA:2026:04:23:DEN@MIN,NBA:2026:04:23:DEN-MIN
NBA,2026-04-23,Derrick White,NBA:derrick_white,,,threes_made,NBA:derrick_white::threes_made::OVER,2.5,102,covers,True,NBA:2026:04:23:BOS@PHI,NBA:2026:04:23:BOS-PHI
NBA,2026-04-23,Kevin Durant,NBA:kevin_durant,,,points,NBA:kevin_durant::points::OVER,23.5,-115,covers,True,NBA:2026:04:23:LAL@HOU,NBA:2026:04:23:HOU-LAL
NBA,2026-04-23,Nikola Jokic,NBA:nikola_jokic,,,assists,NBA:nikola_jokic::assists::OVER,11.5,170,dimers,True,NBA:2026:04:23:DEN@MIN,NBA:2026:04:23:DEN-MIN
NBA,2026-04-23,Jalen Johnson,NBA:jalen_johnson,,,assists,NBA:jalen_johnson::assists::OVER,6.5,112,dimers,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-25,Jaxson Hayes,nba:jaxson_hayes,,,pts_reb,Jaxson Hayes over 9.5,9.5,-105,oddstrader,True,NBA:2026:04:25:LAL@HOU,NBA:2026:04:25:HOU-LAL
NBA,2026-04-25,Luke Kornet,nba:luke_kornet,,,pts_reb,Luke Kornet under 16.5,16.5,-105,oddstrader,True,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS
NBA,2026-04-24,Bruce Brown,nba:bruce_brown,,,pts_reb_ast,Bruce Brown over 11.5,11.5,-125,oddstrader,True,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN
NBA,2026-04-23,Miles McBride,nba:miles_mcbride,,,pts_reb_ast,Miles McBride over 7.5,7.5,-145,oddstrader,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-24,Evan Mobley,nba:evan_mobley,,,threes,Evan Mobley,,120,oddstrader,True,NBA:2026:04:24:CLE@TOR,NBA:2026:04:24:CLE-TOR
NBA,2026-04-25,Reed Sheppard,nba:reed_sheppard,,,pts_reb_ast,Reed Sheppard over 14.5,14.5,-125,oddstrader,True,NBA:2026:04:25:LAL@HOU,NBA:2026:04:25:HOU-LAL
NBA,2026-04-23,Miles McBride,nba:miles_mcbride,,,pts_ast,Miles McBride over 6.5,6.5,-120,oddstrader,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-25,Luke Kornet,nba:luke_kornet,,,pts_reb_ast,Luke Kornet under 18.5,18.5,-105,oddstrader,True,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS
NBA,2026-04-25,Reed Sheppard,nba:reed_sheppard,,,pts_ast,Reed Sheppard over 12.5,12.5,-110,oddstrader,True,NBA:2026:04:25:LAL@HOU,NBA:2026:04:25:HOU-LAL
NBA,2026-04-25,Bronny James,nba:bronny_james,,,points,Bronny James over 1.5,1.5,-115,oddstrader,True,NBA:2026:04:25:LAL@HOU,NBA:2026:04:25:HOU-LAL
NBA,2026-04-25,Luke Kornet,nba:luke_kornet,,,rebounds,Luke Kornet under 7.5,7.5,100,oddstrader,True,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS
NBA,2026-04-24,Bruce Brown,nba:bruce_brown,,,reb_ast,Bruce Brown over 4.5,4.5,-145,oddstrader,True,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN
NBA,2026-04-24,Dennis Schröder,nba:dennis_schr_der,,,pts_reb_ast,Dennis Schröder over 6.5,6.5,-170,oddstrader,True,NBA:2026:04:24:CLE@TOR,NBA:2026:04:24:CLE-TOR
NBA,2026-04-25,Jaxson Hayes,nba:jaxson_hayes,,,points,Jaxson Hayes over 5.5,5.5,-120,oddstrader,True,NBA:2026:04:25:LAL@HOU,NBA:2026:04:25:HOU-LAL
NBA,2026-04-25,Cade Cunningham,nba:cade_cunningham,,,pts_ast,Cade Cunningham under 37.5,37.5,-110,oddstrader,True,NBA:2026:04:25:DET@ORL,NBA:2026:04:25:DET-ORL
