sport,date,source,event_key,matchup_key,game,market_type,selection,line,odds,player_name,player_key,stat_type,eligible_for_consensus,reason_if_ineligible
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Anthony Edwards under 33.5,33.5,-125,Anthony Edwards,nba:anthony_edwards,pts_ast,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:LAL@HOU,NBA:2026:04:25:HOU-LAL,LAL @ HOU,player_prop,Amen Thompson over 22.5,22.5,-120,Amen Thompson,nba:amen_thompson,pts_ast,True,
NBA,2026-04-23,oddstrader,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,Dyson Daniels over 21.5,21.5,-105,Dyson Daniels,nba:dyson_daniels,pts_reb_ast,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:LAL@HOU,NBA:2026:04:25:HOU-LAL,LAL @ HOU,player_prop,Amen Thompson over 30.5,30.5,-105,Amen Thompson,nba:amen_thompson,pts_reb_ast,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:LAL@HOU,NBA:2026:04:25:HOU-LAL,LAL @ HOU,player_prop,Amen Thompson over 24.5,24.5,-115,Amen Thompson,nba:amen_thompson,pts_reb,True,
NBA,2026-04-23,oddstrader,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,Josh Hart under 13.5,13.5,-110,Josh Hart,nba:josh_hart,reb_ast,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Anthony Edwards under 28.5,28.5,-120,Anthony Edwards,nba:anthony_edwards,points,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Nikola Jokic under 53.5,53.5,-115,Nikola Jokic,nba:nikola_jokic,pts_reb_ast,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Nikola Jokic under 43.5,43.5,-115,Nikola Jokic,nba:nikola_jokic,pts_reb,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Anthony Edwards under 10.5,10.5,-120,Anthony Edwards,nba:anthony_edwards,reb_ast,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS,SAS @ POR,player_prop,Deni Avdija over 30.5,30.5,-105,Deni Avdija,nba:deni_avdija,pts_ast,True,
NBA,2026-04-23,oddstrader,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,Karl-Anthony Towns over 22.5,22.5,-105,Karl-Anthony Towns,nba:karl_anthony_towns,pts_ast,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:BOS@PHI,NBA:2026:04:24:BOS-PHI,BOS @ PHI,player_prop,Derrick White under 3.5,3.5,150,Derrick White,nba:derrick_white,rebounds,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS,SAS @ POR,player_prop,Deni Avdija over 37.5,37.5,-110,Deni Avdija,nba:deni_avdija,pts_reb_ast,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:LAL@HOU,NBA:2026:04:25:HOU-LAL,LAL @ HOU,player_prop,Reed Sheppard over 4.5,4.5,-150,Reed Sheppard,nba:reed_sheppard,reb_ast,True,
NBA,2026-04-23,oddstrader,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,Mitchell Robinson over 12.5,12.5,-120,Mitchell Robinson,nba:mitchell_robinson,pts_reb_ast,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS,SAS @ POR,player_prop,Luke Kornet under 8.5,8.5,-115,Luke Kornet,nba:luke_kornet,points,True,
NBA,2026-04-23,oddstrader,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,Miles McBride over 5.5,5.5,-105,Miles McBride,nba:miles_mcbride,points,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS,SAS @ POR,player_prop,Luke Kornet under 10.5,10.5,-105,Luke Kornet,nba:luke_kornet,pts_ast,True,
NBA,2026-04-23,oddstrader,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,Mitchell Robinson over 11.5,11.5,-130,Mitchell Robinson,nba:mitchell_robinson,pts_reb,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:CLE@TOR,NBA:2026:04:24:CLE-TOR,CLE @ TOR,player_prop,Immanuel Quickley over 6.5,6.5,-105,Immanuel Quickley,nba:immanuel_quickley,reb_ast,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Anthony Edwards under 5.5,5.5,115,Anthony Edwards,nba:anthony_edwards,rebounds,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Nikola Jokic under 39.5,39.5,-110,Nikola Jokic,nba:nikola_jokic,pts_ast,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:BOS@PHI,NBA:2026:04:24:BOS-PHI,BOS @ PHI,player_prop,Derrick White under 22.5,22.5,-105,Derrick White,nba:derrick_white,pts_reb_ast,True,
NBA,2026-04-23,oddstrader,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,Dyson Daniels over 14.5,14.5,-115,Dyson Daniels,nba:dyson_daniels,pts_ast,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS,SAS @ POR,player_prop,De'Aaron Fox over 8.5,8.5,-115,De'Aaron Fox,nba:de_aaron_fox,reb_ast,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:CLE@TOR,NBA:2026:04:24:CLE-TOR,CLE @ TOR,player_prop,Keon Ellis over 1.5,1.5,-185,Keon Ellis,nba:keon_ellis,points,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:CLE@TOR,NBA:2026:04:24:CLE-TOR,CLE @ TOR,player_prop,Scottie Barnes under 1.5,1.5,-135,Scottie Barnes,nba:scottie_barnes,steals,True,
NBA,2026-04-23,oddstrader,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,Josh Hart under 4.5,4.5,100,Josh Hart,nba:josh_hart,assists,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:BOS@PHI,NBA:2026:04:24:BOS-PHI,BOS @ PHI,player_prop,Derrick White under 8.5,8.5,-110,Derrick White,nba:derrick_white,reb_ast,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS,SAS @ POR,player_prop,Deni Avdija over 31.5,31.5,-105,Deni Avdija,nba:deni_avdija,pts_reb,True,
