atomic_stat,avg_odds,bets_with_units,direction,losses,market_type,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
,-106.42857142857143,7,ATL,5,moneyline,7,-3.9430000000000005,7,-745.0,0,unrated,-0.49597484276729564,sportsline,7.95,0,0.0822,0.2857142857142857,2
,-139.71428571428572,7,GSW,4,moneyline,7,-2.1100000000000003,7,-978.0,0,unrated,-0.25985221674876846,sportsline,8.120000000000001,0,0.1582,0.42857142857142855,3
,-151.71428571428572,7,MEM,2,moneyline,7,1.588,7,-1062.0,0,unrated,0.1888228299643282,sportsline,8.41,0,0.3589,0.7142857142857143,5
,-110.71428571428571,7,POR,3,moneyline,7,-0.09000000000000008,7,-775.0,0,unrated,-0.011124845488257118,sportsline,8.09,0,0.2505,0.5714285714285714,4
points_assists_rebounds,-120.57142857142857,7,UNDER,2,player_prop,7,2.3409999999999997,7,-844.0,0,unrated,0.30601307189542476,sportsline,7.650000000000001,0,0.3589,0.7142857142857143,5
,-111.4,6,NOP,3,spread,7,-0.2719999999999998,5,-557.0,0,unrated,-0.04338118022328546,sportsline,6.27,1,0.2505,0.5714285714285714,4
,-110.25,8,SAS,3,spread,8,0.6729999999999999,8,-882.0,1,unrated,0.08031026252983292,sportsline,8.38,0,0.2505,0.5714285714285714,4
points,-119.28571428571429,7,UNDER,4,player_prop,7,-1.594,7,-835.0,0,unrated,-0.21029023746701847,vegasinsider,7.58,0,0.1582,0.42857142857142855,3
threes,36.333333333333336,6,UNDER,3,player_prop,6,-0.9550000000000002,3,109.0,0,4_star,-0.1605042016806723,betql,5.949999999999999,0,0.1876,0.5,3
,10.0,4,BKN,4,spread,6,-4.82,1,10.0,0,unrated,-1.0,betql,4.82,2,0.0968,0.3333333333333333,2
,15.0,2,CHI,2,spread,6,-2.74,1,15.0,0,unrated,-1.0,betql,2.74,4,0.3,0.6666666666666666,4
,,4,IND,4,spread,6,-4.0,0,0.0,0,unrated,-1.0,betql,4.0,2,0.0968,0.3333333333333333,2
,,4,UTA,4,spread,6,-4.0,0,0.0,0,unrated,-1.0,betql,4.0,2,0.0968,0.3333333333333333,2
threes,26.833333333333332,6,UNDER,2,player_prop,6,1.885,6,161.0,0,4_star,0.309016393442623,covers,6.1,0,0.3,0.6666666666666666,4
rebounds,-42.666666666666664,6,UNDER,5,player_prop,6,-4.229,6,-256.0,0,5_star,-0.6788121990369181,covers,6.23,0,0.0301,0.16666666666666666,1
rebounds,54.0,6,UNDER,4,player_prop,6,-1.9290000000000003,4,216.0,0,unrated,-0.3258445945945946,covers,5.920000000000001,0,0.0968,0.3333333333333333,2
,-64.5,6,GSW,3,moneyline,6,-0.2950000000000002,6,-387.0,0,unrated,-0.04682539682539685,dimers,6.300000000000001,0,0.1876,0.5,3
,-22.833333333333332,6,LAC,3,moneyline,6,-0.1010000000000002,6,-137.0,0,unrated,-0.016530278232405923,dimers,6.11,0,0.1876,0.5,3
,-105.66666666666667,6,LAL,2,moneyline,6,1.1509999999999998,6,-634.0,0,unrated,0.16802919708029193,dimers,6.8500000000000005,0,0.3,0.6666666666666666,4
,-35.166666666666664,6,SAS,1,spread,6,3.9490000000000003,6,-211.0,0,unrated,0.6527272727272727,dimers,6.050000000000001,0,0.4365,0.8333333333333334,5
blocks,-105.0,6,UNDER,1,player_prop,6,3.1460000000000004,6,-630.0,0,unrated,0.45793304221251824,oddstrader,6.87,0,0.4365,0.8333333333333334,5
