atomic_stat,avg_odds,bets_with_units,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
pts_reb_ast,-120.0,1,Lines at Lunch,0,player_prop,1,0.908,1,-120.0,0,0.8330275229357798,action,1.09,0,0.2065,1.0,1
pts_ast,-135.0,1,Markus Markets,1,player_prop,1,-1.15,1,-135.0,0,-1.0,action,1.15,0,0.0,0.0,0
assists,-147.0,1,Matt DiLeo,0,player_prop,1,0.81,1,-147.0,0,0.680672268907563,action,1.19,0,0.2065,1.0,1
points,-123.0,1,Matt DiLeo,1,player_prop,1,-1.1,1,-123.0,0,-1.0,action,1.1,0,0.0,0.0,0
points,112.0,1,Matt Moore,1,player_prop,1,-0.94,1,112.0,0,-1.0,action,0.94,0,0.0,0.0,0
points_assists_rebounds,-121.0,1,Matt Severance,1,player_prop,1,-1.1,1,-121.0,0,-1.0,sportsline,1.1,0,0.0,0.0,0
reb_ast,-114.0,1,Matt Severance,0,player_prop,1,0.939,1,-114.0,0,0.8775700934579438,sportsline,1.07,0,0.2065,1.0,1
,-110.0,1,Matt Severance,1,total,1,-1.05,1,-110.0,0,-1.0,sportsline,1.05,0,0.0,0.0,0
pts_ast,107.0,1,Miguel,0,player_prop,1,1.038,1,107.0,0,1.0701030927835051,bettingpros_experts,0.97,0,0.2065,1.0,1
pts_reb,-10000000.0,1,Miguel,0,player_prop,1,0.0,1,-10000000.0,0,0.0,bettingpros_experts,2.0,0,0.2065,1.0,1
assists,113.0,1,Mr. B,1,player_prop,1,-0.94,1,113.0,0,-1.0,bettingpros_experts,0.94,0,0.0,0.0,0
blocks,-131.0,1,Mr. B,1,player_prop,1,-1.13,1,-131.0,0,-1.0,bettingpros_experts,1.13,0,0.0,0.0,0
pts_reb,-104.0,1,Mr. B,0,player_prop,1,0.981,1,-104.0,0,0.9617647058823529,bettingpros_experts,1.02,0,0.2065,1.0,1
assists,-150.0,1,Pana10,0,player_prop,1,0.8,1,-150.0,0,0.6666666666666667,bettingpros_experts,1.2,0,0.2065,1.0,1
,100.0,1,Propmaster71,1,moneyline,1,-1.0,1,100.0,0,-1.0,bettingpros_experts,1.0,0,0.0,0.0,0
,,1,Propmaster71,1,spread,1,-1.0,0,0.0,0,-1.0,bettingpros_experts,1.0,0,0.0,0.0,0
,-108.0,1,Stephen Oh,1,1st_half_spread,1,-1.04,1,-108.0,0,-1.0,sportsline,1.04,0,0.0,0.0,0
points,268.0,1,The Degenerates,0,player_prop,1,1.447,1,268.0,0,2.6796296296296296,action,0.54,0,0.2065,1.0,1
assists,-115.0,1,The Propfessor,1,player_prop,1,-0.4,1,-115.0,0,-1.0,action,0.4,0,0.0,0.0,0
rebounds,-166.0,1,The Propfessor,0,player_prop,1,0.753,1,-166.0,0,0.6024,action,1.25,0,0.2065,1.0,1
assists,-1400.0,1,TheDevil,0,player_prop,1,0.134,1,-1400.0,0,0.07165775401069518,bettingpros_experts,1.87,0,0.2065,1.0,1
