atomic_stat,avg_odds,bets_with_units,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
pts_reb_ast,-111.0,38,The Degenerates,36,player_prop,70,-34.154,3,-333.0,0,-0.895020964360587,action,38.160000000000004,32,0.3725,0.4857142857142857,34
points,-114.6,31,The Propfessor,26,player_prop,64,-21.343,5,-573.0,0,-0.6812320459623364,action,31.33,33,0.4714,0.59375,38
pts_reb,-118.5,41,The Propfessor,40,player_prop,64,-39.172,2,-237.0,0,-0.9514695166383288,action,41.17,23,0.2667,0.375,24
,-108.1,61,OddsTrader AI,26,spread,64,7.722999999999996,60,-6486.0,1,0.12192927060309433,oddstrader,63.34000000000001,3,0.4642,0.5873015873015873,37
points,-61.05,40,Top Shelf Action 🥃,31,player_prop,63,-22.985999999999997,20,-1221.0,0,-0.5606341463414634,action,41.0,23,0.3876,0.5079365079365079,32
assists,54.0,23,Allan Lem,21,player_prop,61,-18.924,4,216.0,0,-0.8252943741822939,action,22.93,38,0.5305,0.6557377049180327,40
rebounds,-82.0,34,Allan Lem,32,player_prop,60,-30.476,5,-410.0,0,-0.8838747099767981,action,34.480000000000004,26,0.3463,0.4666666666666667,28
assists,60.75,27,Ryan Minion,27,player_prop,60,-26.8,4,243.0,0,-1.0,action,26.8,33,0.4249,0.55,33
pts_reb,-113.0,34,Buckets Podcast,30,player_prop,59,-27.369,6,-678.0,0,-0.7965366705471478,action,34.36,25,0.3684,0.4915254237288136,29
points,-79.85714285714286,31,RocketPlays,27,player_prop,57,-23.265,7,-559.0,0,-0.7440038375439719,action,31.27,26,0.3992,0.5263157894736842,30
assists,126.66666666666667,25,The Propfessor,24,player_prop,57,-22.671,3,380.0,0,-0.9185980551053484,action,24.68,32,0.4498,0.5789473684210527,33
pts_reb_ast,,19,The Propfessor,19,player_prop,55,-19.0,0,0.0,0,-1.0,action,19.0,36,0.5225,0.6545454545454545,36
pts_reb,-121.8,27,Cam Is Money,24,player_prop,53,-21.495999999999995,5,-609.0,0,-0.781957075300109,action,27.49,26,0.4145,0.5471698113207547,29
pts_ast,-116.66666666666667,26,Joe Dellera,24,player_prop,51,-22.227,3,-350.0,0,-0.8473884864658787,action,26.23,25,0.3952,0.5294117647058824,27
points,-67.8,31,Royals Props,29,player_prop,51,-29.16,5,-339.0,1,-0.9349150368707919,action,31.19,20,0.2937,0.42,21
threes,-53.9375,48,OddsTrader AI,20,player_prop,48,2.641999999999999,48,-2589.0,0,0.04955918214218719,oddstrader,53.309999999999995,0,0.4428,0.5833333333333334,28
points,-4.5,40,Wags Wins,38,player_prop,47,-36.035,2,-9.0,0,-0.8997503121098627,action,40.05,7,0.1042,0.19148936170212766,9
rebounds,24.7,32,Top Shelf Action 🥃,21,player_prop,46,-9.599000000000004,20,494.0,0,-0.30376582278481024,action,31.6,14,0.4018,0.5434782608695652,25
pts_reb_ast,-112.5,23,Allan Lem,22,player_prop,45,-21.115000000000002,2,-225.0,0,-0.9132785467128028,action,23.12,22,0.37,0.5111111111111111,23
assists,-30.25,26,Jim Turvey,22,player_prop,45,-19.28,8,-242.0,0,-0.7358778625954198,action,26.200000000000006,19,0.37,0.5111111111111111,23
pts_ast,,22,Ryan Minion,22,player_prop,45,-22.0,0,0.0,0,-1.0,action,22.0,23,0.37,0.5111111111111111,23
rebounds,30.166666666666668,22,Ryan Minion,20,player_prop,45,-18.098,6,181.0,0,-0.8196557971014493,action,22.08,23,0.4118,0.5555555555555556,25
pts_reb,-110.0,17,Allan Lem,16,player_prop,43,-14.096,2,-220.0,0,-0.8248098303101229,action,17.09,26,0.4786,0.627906976744186,27
rebounds,-78.0,28,Joe Dellera,22,player_prop,43,-16.754,10,-780.0,0,-0.5823427181091416,action,28.769999999999996,15,0.3462,0.4883720930232558,21
points,-25.4,21,Matt DiLeo,17,player_prop,43,-13.124,5,-127.0,0,-0.6211074301940369,action,21.130000000000003,22,0.4558,0.6046511627906976,26
points,-79.0,27,Boomer Betz,25,player_prop,42,-23.344000000000005,6,-474.0,0,-0.8538405267008049,action,27.34,15,0.2704,0.40476190476190477,17
rebounds,2.0,24,Bryan Fonseca,23,player_prop,39,-22.354,7,14.0,0,-0.9176518883415435,action,24.36,15,0.2708,0.41025641025641024,16
pts_reb_ast,,17,Cam Is Money,17,player_prop,39,-17.0,0,0.0,0,-1.0,action,17.0,22,0.4098,0.5641025641025641,22
