atomic_stat,avg_odds,bets_with_units,direction,display_group,experts,group_size,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,split_count,total_stake,units_missing_count,wilson_lower,win_pct,wins
points,,0,OVER,Propmaster71[bettingpros_experts] + akelder15[bettingpros_experts],"[""Propmaster71[bettingpros_experts]"", ""akelder15[bettingpros_experts]""]",2,1,player_prop,3,0.0,0,0.0,0,,1,0.0,3,0.2077,0.6666666666666666,2
points,,0,OVER,TheDevil[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""TheDevil[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,1,player_prop,3,0.0,0,0.0,0,,1,0.0,3,0.2077,0.6666666666666666,2
rebounds,,0,OVER,akelder15[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""akelder15[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,0,player_prop,3,0.0,0,0.0,0,,0,0.0,3,0.4385,1.0,3
points,,0,OVER,allcylinderscars[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""allcylinderscars[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,0,player_prop,3,0.0,0,0.0,0,,0,0.0,3,0.4385,1.0,3
points,,0,OVER,bettor73790[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""bettor73790[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,1,player_prop,3,0.0,0,0.0,0,,2,0.0,3,0.2077,0.6666666666666666,2
points,,0,UNDER,chefpadro74[bettingpros_experts] + gordyscott88[bettingpros_experts],"[""chefpadro74[bettingpros_experts]"", ""gordyscott88[bettingpros_experts]""]",2,1,player_prop,3,0.0,0,0.0,0,,1,0.0,3,0.2077,0.6666666666666666,2
points,,0,OVER,craig.r.trujillo[bettingpros_experts] + gordyscott88[bettingpros_experts],"[""craig.r.trujillo[bettingpros_experts]"", ""gordyscott88[bettingpros_experts]""]",2,2,player_prop,3,0.0,0,0.0,0,,0,0.0,3,0.0615,0.3333333333333333,1
points,,0,OVER,craig.r.trujillo[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""craig.r.trujillo[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,2,player_prop,3,0.0,0,0.0,0,,0,0.0,3,0.0615,0.3333333333333333,1
points,,0,OVER,gordyscott88[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""gordyscott88[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,3,player_prop,3,0.0,0,0.0,0,,0,0.0,3,0.0,0.0,0
points,,0,OVER,jjead76[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""jjead76[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,0,player_prop,3,0.0,0,0.0,0,,0,0.0,3,0.4385,1.0,3
points,,0,OVER,1979jbusy[bettingpros_experts] + KD850[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""1979jbusy[bettingpros_experts]"", ""KD850[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",3,0,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
points,,0,OVER,1979jbusy[bettingpros_experts] + bettor73790[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""1979jbusy[bettingpros_experts]"", ""bettor73790[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",3,1,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.0945,0.5,1
points,,0,OVER,1979jbusy[bettingpros_experts] + chefpadro74[bettingpros_experts] + jjead76[bettingpros_experts],"[""1979jbusy[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]"", ""jjead76[bettingpros_experts]""]",3,1,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.0945,0.5,1
assists,,0,OVER,Fizzy78[bettingpros_experts] + KD850[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""Fizzy78[bettingpros_experts]"", ""KD850[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",3,0,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
points,,0,OVER,KD850[bettingpros_experts] + Propmaster71[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""KD850[bettingpros_experts]"", ""Propmaster71[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",3,1,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.0945,0.5,1
rebounds,,0,OVER,KD850[bettingpros_experts] + chefpadro74[bettingpros_experts] + craig.r.trujillo[bettingpros_experts],"[""KD850[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]"", ""craig.r.trujillo[bettingpros_experts]""]",3,1,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.0945,0.5,1
points,,0,OVER,KD850[bettingpros_experts] + chefpadro74[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""KD850[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",3,1,player_prop,2,0.0,0,0.0,0,,2,0.0,2,0.0945,0.5,1
points,,0,OVER,Propmaster71[bettingpros_experts] + TheDevil[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""Propmaster71[bettingpros_experts]"", ""TheDevil[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",3,0,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
points,,0,OVER,Propmaster71[bettingpros_experts] + akelder15[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""Propmaster71[bettingpros_experts]"", ""akelder15[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",3,1,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.0945,0.5,1
points,,0,OVER,chefpadro74[bettingpros_experts] + craig.r.trujillo[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""chefpadro74[bettingpros_experts]"", ""craig.r.trujillo[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",3,1,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.0945,0.5,1
points,,0,OVER,1979jbusy[bettingpros_experts] + Fizzy78[bettingpros_experts],"[""1979jbusy[bettingpros_experts]"", ""Fizzy78[bettingpros_experts]""]",2,0,player_prop,2,0.0,0,0.0,0,,1,0.0,2,0.3424,1.0,2
threes,,0,OVER,1979jbusy[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""1979jbusy[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,1,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.0945,0.5,1
points,,0,OVER,1979jbusy[bettingpros_experts] + jjead76[bettingpros_experts],"[""1979jbusy[bettingpros_experts]"", ""jjead76[bettingpros_experts]""]",2,1,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.0945,0.5,1
assists,,0,OVER,1979jbusy[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""1979jbusy[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,1,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.0945,0.5,1
threes,,0,OVER,1979jbusy[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""1979jbusy[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,0,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
rebounds,,0,OVER,Bdodson420[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""Bdodson420[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,2,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.0,0.0,0
,,0,AWAY,Bruce Marshall[sportsline] + mypickswithnoresearch[bettingpros_experts],"[""Bruce Marshall[sportsline]"", ""mypickswithnoresearch[bettingpros_experts]""]",2,2,spread,2,0.0,0,0.0,0,,0,0.0,2,0.0,0.0,0
assists,,0,OVER,Fizzy78[bettingpros_experts] + KD850[bettingpros_experts],"[""Fizzy78[bettingpros_experts]"", ""KD850[bettingpros_experts]""]",2,0,player_prop,2,0.0,0,0.0,0,,1,0.0,2,0.3424,1.0,2
points,,0,OVER,Fizzy78[bettingpros_experts] + KD850[bettingpros_experts],"[""Fizzy78[bettingpros_experts]"", ""KD850[bettingpros_experts]""]",2,1,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.0945,0.5,1
threes,,0,OVER,Fizzy78[bettingpros_experts] + carmenciorra[bettingpros_experts],"[""Fizzy78[bettingpros_experts]"", ""carmenciorra[bettingpros_experts]""]",2,2,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.0,0.0,0
rebounds,,0,OVER,Fizzy78[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""Fizzy78[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,1,player_prop,2,0.0,0,0.0,0,,1,0.0,2,0.0945,0.5,1
points,,0,OVER,Fizzy78[bettingpros_experts] + craig.r.trujillo[bettingpros_experts],"[""Fizzy78[bettingpros_experts]"", ""craig.r.trujillo[bettingpros_experts]""]",2,1,player_prop,2,0.0,0,0.0,0,,1,0.0,2,0.0945,0.5,1
points,,0,OVER,KD850[bettingpros_experts] + TheDevil[bettingpros_experts],"[""KD850[bettingpros_experts]"", ""TheDevil[bettingpros_experts]""]",2,1,player_prop,2,0.0,0,0.0,0,,1,0.0,2,0.0945,0.5,1
points,,0,OVER,KD850[bettingpros_experts] + jjead76[bettingpros_experts],"[""KD850[bettingpros_experts]"", ""jjead76[bettingpros_experts]""]",2,0,player_prop,2,0.0,0,0.0,0,,1,0.0,2,0.3424,1.0,2
pts_reb_ast,,0,OVER,KD850[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""KD850[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,0,player_prop,2,0.0,0,0.0,0,,1,0.0,2,0.3424,1.0,2
reb_ast,,0,OVER,KD850[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""KD850[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,2,player_prop,2,0.0,0,0.0,0,,1,0.0,2,0.0,0.0,0
,,0,HOME,Matt Severance[sportsline] + mypickswithnoresearch[bettingpros_experts],"[""Matt Severance[sportsline]"", ""mypickswithnoresearch[bettingpros_experts]""]",2,0,moneyline,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
points,,0,OVER,Mike Barner[sportsline] + chefpadro74[bettingpros_experts],"[""Mike Barner[sportsline]"", ""chefpadro74[bettingpros_experts]""]",2,1,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.0945,0.5,1
points,,0,OVER,Propmaster71[bettingpros_experts] + TheDevil[bettingpros_experts],"[""Propmaster71[bettingpros_experts]"", ""TheDevil[bettingpros_experts]""]",2,0,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
assists,,0,OVER,Propmaster71[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""Propmaster71[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,0,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
points,,0,OVER,TheDirtyDs2988[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""TheDirtyDs2988[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,0,player_prop,2,0.0,0,0.0,0,,1,0.0,2,0.3424,1.0,2
points,,0,OVER,TheDirtyDs2988[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""TheDirtyDs2988[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,1,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.0945,0.5,1
points,,0,OVER,akelder15[bettingpros_experts] + bettor73790[bettingpros_experts],"[""akelder15[bettingpros_experts]"", ""bettor73790[bettingpros_experts]""]",2,1,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.0945,0.5,1
rebounds,,0,OVER,bettor73790[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""bettor73790[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,2,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.0,0.0,0
pts_reb_ast,,0,OVER,bettor73790[bettingpros_experts] + xwq9tqbk8d[bettingpros_experts],"[""bettor73790[bettingpros_experts]"", ""xwq9tqbk8d[bettingpros_experts]""]",2,0,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
points,,0,OVER,chefpadro74[bettingpros_experts] + dylanmccaffrey[bettingpros_experts],"[""chefpadro74[bettingpros_experts]"", ""dylanmccaffrey[bettingpros_experts]""]",2,0,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
points,,0,OVER,chefpadro74[bettingpros_experts] + johnmorrow[bettingpros_experts],"[""chefpadro74[bettingpros_experts]"", ""johnmorrow[bettingpros_experts]""]",2,1,player_prop,2,0.0,0,0.0,0,,2,0.0,2,0.0945,0.5,1
rebounds,,0,OVER,chefpadro74[bettingpros_experts] + johnmorrow[bettingpros_experts],"[""chefpadro74[bettingpros_experts]"", ""johnmorrow[bettingpros_experts]""]",2,1,player_prop,2,0.0,0,0.0,0,,1,0.0,2,0.0945,0.5,1
points,,0,OVER,chefpadro74[bettingpros_experts] + mullinsjeff76[bettingpros_experts],"[""chefpadro74[bettingpros_experts]"", ""mullinsjeff76[bettingpros_experts]""]",2,0,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
threes,,0,OVER,chefpadro74[bettingpros_experts] + primetime897[bettingpros_experts],"[""chefpadro74[bettingpros_experts]"", ""primetime897[bettingpros_experts]""]",2,2,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.0,0.0,0
points,,0,OVER,craig.r.trujillo[bettingpros_experts] + nomadicmitch[bettingpros_experts],"[""craig.r.trujillo[bettingpros_experts]"", ""nomadicmitch[bettingpros_experts]""]",2,0,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
assists,,0,OVER,johnmorrow[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""johnmorrow[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,0,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
points,,0,OVER,johnmorrow[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""johnmorrow[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,1,player_prop,2,0.0,0,0.0,0,,0,0.0,2,0.0945,0.5,1
points,,0,OVER,1979jbusy[bettingpros_experts] + Bdodson420[bettingpros_experts] + Fizzy78[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""1979jbusy[bettingpros_experts]"", ""Bdodson420[bettingpros_experts]"", ""Fizzy78[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",4,0,player_prop,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
points,,0,OVER,1979jbusy[bettingpros_experts] + KD850[bettingpros_experts] + Propmaster71[bettingpros_experts] + TheDevil[bettingpros_experts],"[""1979jbusy[bettingpros_experts]"", ""KD850[bettingpros_experts]"", ""Propmaster71[bettingpros_experts]"", ""TheDevil[bettingpros_experts]""]",4,0,player_prop,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
points,,0,OVER,1979jbusy[bettingpros_experts] + KD850[bettingpros_experts] + Propmaster71[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""1979jbusy[bettingpros_experts]"", ""KD850[bettingpros_experts]"", ""Propmaster71[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",4,0,player_prop,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
points,,0,OVER,1979jbusy[bettingpros_experts] + KD850[bettingpros_experts] + TheDevil[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""1979jbusy[bettingpros_experts]"", ""KD850[bettingpros_experts]"", ""TheDevil[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",4,0,player_prop,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
points,,0,OVER,1979jbusy[bettingpros_experts] + Propmaster71[bettingpros_experts] + TheDevil[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""1979jbusy[bettingpros_experts]"", ""Propmaster71[bettingpros_experts]"", ""TheDevil[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",4,0,player_prop,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
points,,0,OVER,1979jbusy[bettingpros_experts] + akelder15[bettingpros_experts] + bettor73790[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""1979jbusy[bettingpros_experts]"", ""akelder15[bettingpros_experts]"", ""bettor73790[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",4,1,player_prop,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
points,,0,OVER,1979jbusy[bettingpros_experts] + allcylinderscars[bettingpros_experts] + bettor73790[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""1979jbusy[bettingpros_experts]"", ""allcylinderscars[bettingpros_experts]"", ""bettor73790[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",4,0,player_prop,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
assists,,0,OVER,Fizzy78[bettingpros_experts] + KD850[bettingpros_experts] + Propmaster71[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""Fizzy78[bettingpros_experts]"", ""KD850[bettingpros_experts]"", ""Propmaster71[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",4,0,player_prop,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
assists,,0,OVER,Fizzy78[bettingpros_experts] + KD850[bettingpros_experts] + Propmaster71[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""Fizzy78[bettingpros_experts]"", ""KD850[bettingpros_experts]"", ""Propmaster71[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",4,0,player_prop,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
assists,,0,OVER,Fizzy78[bettingpros_experts] + KD850[bettingpros_experts] + chefpadro74[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""Fizzy78[bettingpros_experts]"", ""KD850[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",4,0,player_prop,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
assists,,0,OVER,Fizzy78[bettingpros_experts] + Propmaster71[bettingpros_experts] + chefpadro74[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""Fizzy78[bettingpros_experts]"", ""Propmaster71[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",4,0,player_prop,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
