atomic_stat,avg_odds,bets_with_units,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
,-203.28333333333333,60,mypickswithnoresearch,14,moneyline,60,15.053,60,-12197.0,0,0.19564595788926445,bettingpros_experts,76.93999999999997,0,0.6456,0.7666666666666667,46
assists,66.25,26,The Propfessor,25,player_prop,58,-23.070999999999998,4,265.0,0,-0.919896331738437,action,25.08,32,0.4412,0.5689655172413793,33
points,-79.85714285714286,31,RocketPlays,27,player_prop,57,-23.265,7,-559.0,0,-0.7440038375439719,action,31.27,26,0.3992,0.5263157894736842,30
points,-22.672727272727272,57,gordyscott88,28,player_prop,58,-2.0640000000000005,55,-1247.0,1,-0.03491794958551852,bettingpros_experts,59.11000000000002,1,0.3826,0.5087719298245614,29
reb_ast,-78.84210526315789,57,KD850,21,player_prop,58,6.240000000000001,57,-4494.0,3,0.09898477157360408,bettingpros_experts,63.04,1,0.4861,0.6181818181818182,34
pts_reb_ast,,19,The Propfessor,19,player_prop,55,-19.0,0,0.0,0,-1.0,action,19.0,36,0.5225,0.6545454545454545,36
rebounds,-85.09433962264151,53,Prop Bet Guy,22,player_prop,54,5.392999999999999,53,-4510.0,0,0.0952995228839017,sportsline,56.59000000000002,1,0.4597,0.5925925925925926,32
pts_reb,-121.8,27,Cam Is Money,24,player_prop,53,-21.495999999999995,5,-609.0,0,-0.781957075300109,action,27.49,26,0.4145,0.5471698113207547,29
,-142.21153846153845,52,Mike Barner,22,moneyline,52,-0.8190000000000003,52,-7395.0,0,-0.013463751438434991,sportsline,60.829999999999984,0,0.4419,0.5769230769230769,30
pts_ast,-116.66666666666667,26,Joe Dellera,24,player_prop,51,-22.227,3,-350.0,0,-0.8473884864658787,action,26.23,25,0.3952,0.5294117647058824,27
points,-67.8,31,Royals Props,29,player_prop,51,-29.16,5,-339.0,1,-0.9349150368707919,action,31.19,20,0.2937,0.42,21
pts_reb,-118.95833333333333,48,Fizzy78,24,player_prop,48,-4.123000000000004,48,-5710.0,0,-0.07915146861201774,bettingpros_experts,52.089999999999996,0,0.3639,0.5,24
threes,-53.9375,48,OddsTrader AI,20,player_prop,48,2.641999999999999,48,-2589.0,0,0.04955918214218719,oddstrader,53.309999999999995,0,0.4428,0.5833333333333334,28
,-21884.434782608696,47,bettor69377,18,total,48,0.04899999999999893,46,-1006684.0,0,0.0008757819481679882,bettingpros_experts,55.949999999999996,1,0.4836,0.625,30
points,-4.5,40,Wags Wins,38,player_prop,47,-36.035,2,-9.0,0,-0.8997503121098627,action,40.05,7,0.1042,0.19148936170212766,9
threes,-201.25,48,bettor69377,12,player_prop,48,7.8149999999999995,48,-9660.0,1,0.123109640831758,bettingpros_experts,63.48000000000001,0,0.6049,0.7446808510638298,35
assists,-30.25,26,Jim Turvey,22,player_prop,46,-19.28,8,-242.0,0,-0.7358778625954198,action,26.200000000000006,20,0.3814,0.5217391304347826,24
rebounds,24.7,32,Top Shelf Action 🥃,21,player_prop,46,-9.599000000000004,20,494.0,0,-0.30376582278481024,action,31.6,14,0.4018,0.5434782608695652,25
rebounds,-166.05405405405406,42,carmenciorra,16,player_prop,48,8.295,37,-6144.0,2,0.19689057678613814,bettingpros_experts,42.13,6,0.5077,0.6521739130434783,30
pts_reb_ast,-112.5,23,Allan Lem,22,player_prop,45,-21.115000000000002,2,-225.0,0,-0.9132785467128028,action,23.12,22,0.37,0.5111111111111111,23
,-111.04878048780488,42,Bruce Marshall,20,spread,45,-0.11700000000000421,41,-4553.0,0,-0.0026482571299231376,sportsline,44.18,3,0.4118,0.5555555555555556,25
pts_ast,,22,Ryan Minion,22,player_prop,45,-22.0,0,0.0,0,-1.0,action,22.0,23,0.37,0.5111111111111111,23
rebounds,30.166666666666668,22,Ryan Minion,20,player_prop,45,-18.098,6,181.0,0,-0.8196557971014493,action,22.08,23,0.4118,0.5555555555555556,25
points,-41.666666666666664,22,Matt DiLeo,18,player_prop,44,-14.224,6,-250.0,0,-0.6398560503823661,action,22.23,22,0.4441,0.5909090909090909,26
,-108.5813953488372,43,Micah Roberts,21,spread,44,-0.45200000000000273,43,-4669.0,0,-0.010171017101710235,sportsline,44.43999999999999,1,0.3794,0.5227272727272727,23
pts_reb,-110.0,17,Allan Lem,16,player_prop,43,-14.096,2,-220.0,0,-0.8248098303101229,action,17.09,26,0.4786,0.627906976744186,27
rebounds,-78.0,28,Joe Dellera,22,player_prop,43,-16.754,10,-780.0,0,-0.5823427181091416,action,28.769999999999996,15,0.3462,0.4883720930232558,21
points,-79.0,27,Boomer Betz,25,player_prop,42,-23.344000000000005,6,-474.0,0,-0.8538405267008049,action,27.34,15,0.2704,0.40476190476190477,17
pts_reb,-118.5,41,Mike Barner,23,player_prop,41,-8.343000000000002,40,-4740.0,0,-0.18824458483754514,sportsline,44.32000000000001,0,0.2989,0.43902439024390244,18
,-70.36842105263158,39,severianosmith,20,total,41,-3.3500000000000005,38,-2674.0,0,-0.08093742449867117,bettingpros_experts,41.39000000000001,2,0.3648,0.5121951219512195,21
rebounds,2.0,24,Bryan Fonseca,23,player_prop,39,-22.354,7,14.0,0,-0.9176518883415435,action,24.36,15,0.2708,0.41025641025641024,16
pts_reb_ast,,17,Cam Is Money,17,player_prop,39,-17.0,0,0.0,0,-1.0,action,17.0,22,0.4098,0.5641025641025641,22
,-169.18421052631578,39,KD850,17,spread,39,-2.4530000000000007,38,-6429.0,0,-0.052832220547060105,bettingpros_experts,46.43,0,0.4098,0.5641025641025641,22
,-59.46153846153846,39,mypickswithnoresearch,16,spread,39,4.6000000000000005,39,-2319.0,0,0.1110842791596233,bettingpros_experts,41.41,0,0.4342,0.5897435897435898,23
,-557.6842105263158,38,ryanblattner51,5,moneyline,38,9.322,38,-21192.0,0,0.1644962061055232,bettingpros_experts,56.669999999999995,0,0.7267,0.868421052631579,33
