atomic_stat,avg_odds,bets_with_units,losses,market_type,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
pts_reb_ast,-117.6875,18,11,player_prop,18,-5.29,16,-1883.0,0,unrated,-0.27423535510627267,juicereel_nukethebooks,19.290000000000003,0,0.203,0.3888888888888889,7
pts_reb_ast,,8,8,player_prop,17,-8.0,0,0.0,0,5_star,-1.0,betql,8.0,9,0.3096,0.5294117647058824,9
threes,13.529411764705882,17,12,player_prop,17,-6.515999999999999,17,230.0,0,unrated,-0.39466989703210165,covers,16.51,0,0.1328,0.29411764705882354,5
assists,1.0,13,8,player_prop,17,-3.34,13,13.0,0,unrated,-0.25037481259370314,sportsline,13.34,4,0.3096,0.5294117647058824,9
threes,34.8,15,8,player_prop,15,-0.7740000000000002,15,522.0,0,4_star,-0.05243902439024392,covers,14.76,0,0.2481,0.4666666666666667,7
pts_reb,-121.8,13,10,player_prop,15,-7.9719999999999995,10,-1218.0,0,unrated,-0.5706513958482462,sportsline,13.969999999999999,2,0.1518,0.3333333333333333,5
threes,-4.125,13,9,player_prop,13,-6.127999999999999,8,-33.0,0,3_star,-0.46707317073170723,betql,13.120000000000001,0,0.1268,0.3076923076923077,4
pts_reb_ast,-118.0,12,7,player_prop,13,-2.980000000000001,12,-1416.0,0,unrated,-0.2297609868928297,sportsline,12.969999999999999,1,0.2321,0.46153846153846156,6
,-111.6923076923077,13,5,spread,13,2.3,13,-1452.0,0,unrated,0.16763848396501455,vegasinsider,13.720000000000002,0,0.3552,0.6153846153846154,8
pts_reb,-75.66666666666667,8,4,player_prop,12,-0.25,6,-454.0,0,unrated,-0.03026634382566586,juicereel_sxebets,8.26,4,0.3906,0.6666666666666666,8
pts_reb_ast,-57.25,10,6,player_prop,11,-2.253,8,-458.0,0,unrated,-0.2195906432748538,bettingpros_experts,10.26,1,0.2127,0.45454545454545453,5
rebounds,20.181818181818183,11,7,player_prop,11,-2.593,11,222.0,0,5_star,-0.2450850661625709,covers,10.58,0,0.1517,0.36363636363636365,4
