atomic_stat,avg_odds,bets_with_units,direction,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
,-110.95,20,HOME,Bruce Marshall,13,spread,20,-7.047000000000001,20,-2219.0,0,-0.33461538461538465,sportsline,21.06,0,0.1812,0.35,7
pts_reb_ast,,9,PLAYER_OVER,Bryan Fonseca,9,player_prop,20,-9.0,0,0.0,0,-1.0,action,9.0,11,0.3421,0.55,11
rebounds,-73.75,12,OVER,Bryan Fonseca,11,player_prop,20,-10.394,4,-295.0,0,-0.8382258064516129,action,12.4,8,0.2582,0.45,9
assists,27.157894736842106,20,OVER,Prop Bet Guy,9,player_prop,20,2.083,19,516.0,0,0.10477867203219317,sportsline,19.88,0,0.3421,0.55,11
points,-108.5,12,PLAYER_OVER,RocketPlays,11,player_prop,20,-10.074,2,-217.0,0,-0.8339403973509933,action,12.08,8,0.2582,0.45,9
points,-292.3809523809524,21,OVER,akelder15,7,player_prop,21,-0.3099999999999997,21,-6140.0,1,-0.011075384065737754,bettingpros_experts,27.99,0,0.4329,0.65,13
points,-141.65,20,UNDER,bettor69377,7,player_prop,20,2.3529999999999998,20,-2833.0,0,0.09940853400929443,bettingpros_experts,23.670000000000005,0,0.4329,0.65,13
,-71.72222222222223,18,OVER,severianosmith,8,total,20,1.2939999999999996,18,-1291.0,0,0.06908702616123863,bettingpros_experts,18.73,2,0.3866,0.6,12
threes,-115.28571428571429,15,OVER,1979jbusy,7,player_prop,19,-1.3970000000000002,14,-1614.0,0,-0.08033352501437609,bettingpros_experts,17.39,4,0.4104,0.631578947368421,12
points,-111.5,12,UNDER,Boomer Betz,11,player_prop,19,-10.102,2,-223.0,0,-0.8348760330578513,action,12.1,7,0.2314,0.42105263157894735,8
points,-121.25,11,PLAYER_OVER,Brian Condon,10,player_prop,19,-9.388,4,-485.0,0,-0.8249560632688928,action,11.379999999999999,8,0.2733,0.47368421052631576,9
points,-109.5,12,UNDER,Brian Condon,11,player_prop,19,-10.099,2,-219.0,0,-0.8353184449958644,action,12.09,7,0.2314,0.42105263157894735,8
,-84.42105263157895,19,IND,Dimers AI Model,10,spread,19,-1.4950000000000003,19,-1604.0,0,-0.07682425488180887,dimers,19.459999999999997,0,0.2733,0.47368421052631576,9
rebounds,-25.428571428571427,11,OVER,Kyle Murray,6,player_prop,19,-1.3399999999999999,7,-178.0,0,-0.1183745583038869,action,11.32,8,0.4601,0.6842105263157895,13
points,16.0,11,PLAYER_OVER,Top Shelf Action 🥃,7,player_prop,19,-3.0789999999999997,5,80.0,0,-0.27763751127141567,action,11.09,8,0.4104,0.631578947368421,12
rebounds,2.6666666666666665,10,PLAYER_UNDER,Top Shelf Action 🥃,7,player_prop,19,-3.943,6,16.0,0,-0.39668008048289743,action,9.94,9,0.4104,0.631578947368421,12
pts_reb_ast,-71.9375,18,UNDER,carmenciorra,8,player_prop,21,-0.19400000000000073,16,-1151.0,2,-0.010595303113053015,bettingpros_experts,18.310000000000002,3,0.3628,0.5789473684210527,11
pts_reb_ast,-552.0526315789474,19,UNDER,chefpadro74,8,player_prop,19,-7.001,19,-10489.0,0,-0.24124741557546525,bettingpros_experts,29.019999999999996,0,0.3628,0.5789473684210527,11
reb_ast,-152.1578947368421,19,OVER,parkerpaduck,7,player_prop,19,1.1600000000000001,19,-2891.0,0,0.050765864332603945,bettingpros_experts,22.85,0,0.4104,0.631578947368421,12
threes,201.76190476190476,21,OVER,primetime897,13,player_prop,21,-1.659000000000001,21,4237.0,2,-0.11409903713892716,bettingpros_experts,14.54,0,0.1536,0.3157894736842105,6
points,-110.33333333333333,11,PLAYER_OVER,Alex Hinton,10,player_prop,18,-9.149000000000001,3,-331.0,0,-0.8212746858168761,action,11.14,7,0.2456,0.4444444444444444,8
rebounds,-15.0,10,PLAYER_UNDER,Allan Lem,8,player_prop,18,-6.1259999999999994,2,-30.0,0,-0.6047384007897335,action,10.129999999999999,8,0.3372,0.5555555555555556,10
,,9,LAL,BetQL Model,8,spread,19,-8.0,0,0.0,1,-0.8888888888888888,betql,9.0,10,0.3372,0.5555555555555556,10
,,11,PHI,BetQL Model,9,spread,19,-10.0,0,0.0,1,-0.9090909090909091,betql,11.0,8,0.2903,0.5,9
points,-105.0,9,OVER,Brandon Kravitz,8,player_prop,18,-7.029,1,-105.0,0,-0.7792682926829269,action,9.02,9,0.3372,0.5555555555555556,10
points,-99.16666666666667,18,OVER,Jason Logan Senior,9,player_prop,18,-0.8730000000000006,18,-1785.0,0,-0.04628844114528105,covers,18.86,0,0.2903,0.5,9
pts_ast,-116.66666666666667,13,PLAYER_OVER,Joe Dellera,11,player_prop,18,-9.227,3,-350.0,0,-0.6974300831443688,action,13.23,5,0.203,0.3888888888888889,7
reb_ast,,7,OVER,Player Prop Savant,7,player_prop,18,-7.0,0,0.0,0,-1.0,action,7.0,11,0.3862,0.6111111111111112,11
rebounds,,6,PLAYER_OVER,Ryan Minion,6,player_prop,18,-6.0,0,0.0,0,-1.0,action,6.0,12,0.4375,0.6666666666666666,12
assists,-1.4444444444444444,18,OVER,Stephen Oh,9,player_prop,18,-0.08800000000000008,18,-26.0,0,-0.0048645660585959144,sportsline,18.089999999999996,0,0.2903,0.5,9
pts_ast,-115.0,9,PLAYER_OVER,The Propfessor,8,player_prop,18,-7.07,1,-115.0,0,-0.7794928335170893,action,9.07,9,0.3372,0.5555555555555556,10
rebounds,-19.8,15,OVER,nukethebooks,10,player_prop,18,-7.538,10,-198.0,0,-0.5466279912980422,juicereel_nukethebooks,13.789999999999997,3,0.2456,0.4444444444444444,8
,582.75,17,UTA,Dimers AI Model,9,moneyline,17,5.611000000000001,16,9324.0,0,0.533872502378687,dimers,10.51,0,0.2616,0.47058823529411764,8
,-57.529411764705884,17,CHI,Dimers AI Model,10,spread,17,-3.359,17,-978.0,0,-0.1933793897524467,dimers,17.370000000000005,0,0.2161,0.4117647058823529,7
pts_ast,-121.70588235294117,17,OVER,KD850,5,player_prop,17,4.602000000000001,17,-2069.0,0,0.22569887199607655,bettingpros_experts,20.39,0,0.4687,0.7058823529411765,12
,-96.41176470588235,17,TEAM,Matt Moore,9,spread,17,-1.6640000000000004,17,-1639.0,0,-0.09417091114883985,action,17.67,0,0.2616,0.47058823529411764,8
,-153.05882352941177,17,LAL,Matt Severance,8,moneyline,17,-2.901,17,-2602.0,0,-0.1387374461979914,sportsline,20.91,0,0.3096,0.5294117647058824,9
rebounds,-100.36363636363636,15,OVER,OddsTrader AI,7,player_prop,17,-0.3509999999999992,11,-1104.0,0,-0.021481028151774738,oddstrader,16.34,2,0.3601,0.5882352941176471,10
,-108.5625,16,UNDER,OddsTrader AI,12,total,17,-8.651,16,-1737.0,0,-0.5189562087582484,oddstrader,16.669999999999998,1,0.1328,0.29411764705882354,5
points,-110.5,10,OVER,Prop Bomb 🏝,9,player_prop,17,-6.101999999999999,2,-221.0,0,-0.6047571853320118,action,10.09,7,0.2616,0.47058823529411764,8
pts_ast,,8,PLAYER_OVER,Ryan Minion,8,player_prop,17,-8.0,0,0.0,0,-1.0,action,8.0,9,0.3096,0.5294117647058824,9
rebounds,-10.058823529411764,17,OVER,Stephen Oh,11,player_prop,17,-5.278000000000001,17,-171.0,0,-0.30543981481481486,sportsline,17.28,0,0.1731,0.35294117647058826,6
pts_ast,-120.0,8,OVER,The Propfessor,8,player_prop,17,-8.09,1,-120.0,0,-1.0,action,8.09,9,0.3096,0.5294117647058824,9
pts_reb,,8,PLAYER_UNDER,Top Shelf Action 🥃,8,player_prop,17,-8.0,0,0.0,0,-1.0,action,8.0,9,0.3096,0.5294117647058824,9
points,-128.35294117647058,17,OVER,allcylinderscars,5,player_prop,17,4.982,17,-2182.0,0,0.26138509968520457,bettingpros_experts,19.060000000000006,0,0.4687,0.7058823529411765,12
,-62.75,16,UNDER,mypickswithnoresearch,5,total,17,5.084999999999999,16,-1004.0,0,0.30088757396449695,bettingpros_experts,16.900000000000002,1,0.4687,0.7058823529411765,12
assists,27.923076923076923,13,OVER,nukethebooks,7,player_prop,17,0.6200000000000001,13,363.0,0,0.0688888888888889,juicereel_nukethebooks,9.0,4,0.3601,0.5882352941176471,10
pts_reb_ast,-114.16666666666667,12,OVER,sXeBets,9,player_prop,17,-6.73,6,-685.0,0,-0.5213013168086754,juicereel_sxebets,12.91,5,0.2616,0.47058823529411764,8
rebounds,-629.875,10,OVER,1979jbusy,4,player_prop,16,-3.0580000000000003,8,-5039.0,0,-0.203054448871182,bettingpros_experts,15.059999999999999,6,0.505,0.75,12
points,-70.6,14,OVER,Alex Hinton,10,player_prop,16,-6.247000000000002,5,-353.0,0,-0.43838596491228077,action,14.250000000000002,2,0.1848,0.375,6
