atomic_stat,avg_odds,bets_with_units,direction,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
,-106.5,5,UNDER,Matt Moore,5,total,5,-5.120000000000001,4,-426.0,0,-1.0,action,5.120000000000001,0,-0.0,0.0,0
assists,16.8,5,OVER,Mike Barner,4,player_prop,5,-3.074,5,84.0,0,-0.6063116370808678,sportsline,5.07,0,0.0362,0.2,1
,-109.4,5,SAC,OddsTrader AI,1,spread,5,2.792,5,-547.0,0,0.5338432122370936,oddstrader,5.23,0,0.3755,0.8,4
,-115.0,3,OVER,Picks Office,1,total,5,0.8600000000000001,2,-230.0,0,0.27388535031847133,action,3.14,2,0.3755,0.8,4
pts_reb,,3,PLAYER_OVER,Player Prop Savant,3,player_prop,5,-3.0,0,0.0,0,-1.0,action,3.0,2,0.1176,0.4,2
rebounds,-56.5,4,OVER,Prop Bet Guy,2,player_prop,5,-0.12600000000000033,4,-226.0,0,-0.030508474576271268,sportsline,4.13,1,0.2307,0.6,3
points,-115.0,2,PLAYER_OVER,Prop Bomb 🏝,2,player_prop,5,-2.0700000000000003,1,-115.0,0,-1.0,action,2.0700000000000003,3,0.2307,0.6,3
points,-110.5,5,OVER,Rohit Ponnaiya,4,player_prop,5,-4.05,2,-221.0,0,-0.7941176470588236,covers,5.1,0,0.0362,0.2,1
points,,0,PLAYER_OVER,Royals Props,0,player_prop,5,0.0,0,0.0,0,,action,0.0,5,0.5655,1.0,5
pts_reb_ast,,2,PLAYER_OVER,Royals Props,2,player_prop,5,-2.0,0,0.0,0,-1.0,action,2.0,3,0.2307,0.6,3
steals,,3,PLAYER_OVER,Ryan Minion,3,player_prop,5,-3.0,0,0.0,0,-1.0,action,3.0,2,0.1176,0.4,2
rebounds,116.0,3,OVER,The Degenerates,2,player_prop,5,-0.8519999999999999,2,232.0,0,-0.2989473684210526,action,2.85,2,0.2307,0.6,3
rebounds,-129.0,4,PLAYER_OVER,The Degenerates,3,player_prop,5,-2.235,2,-258.0,0,-0.5271226415094339,action,4.24,1,0.1176,0.4,2
points,,4,PLAYER_UNDER,The Propfessor,4,player_prop,5,-4.0,0,0.0,0,-1.0,action,4.0,1,0.0362,0.2,1
pts_reb_ast,,1,PLAYER_UNDER,The Propfessor,1,player_prop,5,-1.0,0,0.0,0,-1.0,action,1.0,4,0.3755,0.8,4
assists,-58.25,4,OVER,Tom Oldfield,3,player_prop,5,-2.154,4,-233.0,0,-0.5177884615384615,covers,4.16,1,0.1176,0.4,2
assists,-7.5,5,OVER,Top Shelf Action 🥃,4,player_prop,5,-3.061,2,-15.0,0,-0.6049407114624507,action,5.06,0,0.0362,0.2,1
points,-11.5,5,UNDER,Top Shelf Action 🥃,4,player_prop,5,-3.1020000000000003,2,-23.0,0,-0.6082352941176471,action,5.1000000000000005,0,0.0362,0.2,1
,-107.5,5,UNDER,Wags Wins,4,total,5,-3.1350000000000002,4,-430.0,0,-0.6099221789883268,action,5.140000000000001,0,0.0362,0.2,1
rebounds,-64.25,4,OVER,Zak Hanshew,2,player_prop,5,-0.2530000000000001,4,-257.0,0,-0.059389671361502375,covers,4.26,1,0.2307,0.6,3
points,,2,OVER,+113,2,player_prop,4,-2.0,0,0.0,0,-1.0,sportsline,2.0,2,0.15,0.5,2
reb_ast,-114.0,4,OVER,Alex Hinton,4,player_prop,4,-4.07,1,-114.0,0,-1.0,action,4.07,0,0.0,0.0,0
rebounds,121.0,3,OVER,Alex Hinton,2,player_prop,4,-0.911,1,121.0,0,-0.3141379310344828,action,2.9,1,0.15,0.5,2
,-114.5,4,TEAM,Alex Hinton,1,spread,4,1.733,4,-458.0,0,0.4058548009367681,action,4.2700000000000005,0,0.3006,0.75,3
pts_ast,,2,PLAYER_UNDER,Allan Lem,2,player_prop,4,-2.0,0,0.0,0,-1.0,action,2.0,2,0.15,0.5,2
pts_reb,,2,PLAYER_UNDER,Allan Lem,2,player_prop,4,-2.0,0,0.0,0,-1.0,action,2.0,2,0.15,0.5,2
points,-110.0,3,OVER,Andrew Caley Senior,0,player_prop,4,2.856,3,-330.0,0,0.9095541401273883,covers,3.1400000000000006,1,0.5101,1.0,4
pts_reb,,2,OVER,Babs .,2,player_prop,4,-2.0,0,0.0,0,-1.0,action,2.0,2,0.15,0.5,2
pts_reb_ast,,2,PLAYER_OVER,Babs .,2,player_prop,4,-2.0,0,0.0,0,-1.0,action,2.0,2,0.15,0.5,2
pts_reb,,3,OVER,Boomer Betz,3,player_prop,4,-3.0,0,0.0,0,-1.0,action,3.0,1,0.0456,0.25,1
