atomic_stat,avg_odds,bets_with_units,direction,losses,market_type,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
,-101.35,21,PHX,8,spread,21,3.5229999999999992,20,-2027.0,0,unrated,0.15671708185053376,bettingpros_experts,22.48,0,0.4088,0.6190476190476191,13
,-97.0,22,NOP,10,spread,22,0.35399999999999987,21,-2037.0,1,unrated,0.015636042402826848,dimers,22.64,0,0.3237,0.5238095238095238,11
,-93.85,20,LAC,10,spread,20,-1.2850000000000006,20,-1877.0,0,unrated,-0.06035697510568343,bettingpros_experts,21.290000000000006,0,0.2993,0.5,10
,-12.714285714285714,21,MEM,9,spread,21,2.7559999999999993,21,-267.0,1,unrated,0.13677419354838705,bettingpros_experts,20.150000000000002,0,0.3421,0.55,11
,-17.27777777777778,19,MIL,13,moneyline,19,-7.398,18,-311.0,0,unrated,-0.381340206185567,bettingpros_experts,19.4,0,0.1536,0.3157894736842105,6
,-450.22222222222223,18,SAS,3,moneyline,19,4.226999999999999,18,-8104.0,0,unrated,0.16396431342125675,bettingpros_experts,25.78,1,0.6243,0.8421052631578947,16
,-80.375,17,LAL,8,spread,19,-0.12800000000000056,16,-1286.0,0,unrated,-0.007060121345835663,bettingpros_experts,18.13,2,0.3628,0.5789473684210527,11
,-84.42105263157895,19,IND,10,spread,19,-1.4950000000000003,19,-1604.0,0,unrated,-0.07682425488180887,dimers,19.459999999999997,0,0.2733,0.47368421052631576,9
,-124.11111111111111,18,CHA,11,spread,18,-5.760999999999998,18,-2234.0,0,unrated,-0.2914011127971673,bettingpros_experts,19.770000000000003,0,0.203,0.3888888888888889,7
,-106.29411764705883,17,ORL,11,spread,18,-6.656,17,-1807.0,0,unrated,-0.3563169164882226,bettingpros_experts,18.680000000000003,1,0.203,0.3888888888888889,7
,-153.55555555555554,18,LAL,9,moneyline,18,-4.140999999999999,18,-2764.0,0,unrated,-0.18695259593679453,sportsline,22.150000000000002,0,0.2903,0.5,9
,-222.94117647058823,17,LAC,8,moneyline,17,-3.344,17,-3790.0,0,unrated,-0.15662763466042154,bettingpros_experts,21.35,0,0.3096,0.5294117647058824,9
,-202.66666666666666,18,MIA,7,moneyline,18,-2.316,18,-3648.0,1,unrated,-0.10216144684605206,bettingpros_experts,22.669999999999995,0,0.3601,0.5882352941176471,10
,-284.47058823529414,17,POR,8,moneyline,17,-4.858999999999998,17,-4836.0,0,unrated,-0.21255468066491678,bettingpros_experts,22.860000000000003,0,0.3096,0.5294117647058824,9
,-99.5625,16,BKN,8,spread,17,-1.2810000000000006,16,-1593.0,0,unrated,-0.0740462427745665,bettingpros_experts,17.3,1,0.3096,0.5294117647058824,9
,-108.125,17,TOR,7,spread,17,1.7169999999999999,16,-1730.0,0,unrated,0.09382513661202185,bettingpros_experts,18.3,0,0.3601,0.5882352941176471,10
,582.75,17,UTA,9,moneyline,17,5.611000000000001,16,9324.0,0,unrated,0.533872502378687,dimers,10.51,0,0.2616,0.47058823529411764,8
,-57.529411764705884,17,CHI,10,spread,17,-3.359,17,-978.0,0,unrated,-0.1933793897524467,dimers,17.370000000000005,0,0.2161,0.4117647058823529,7
,-110.52941176470588,17,OKC,8,spread,17,0.1559999999999997,17,-1879.0,0,unrated,0.008729714605484034,sportsline,17.87,0,0.3096,0.5294117647058824,9
reb_ast,-109.875,17,UNDER,9,player_prop,17,-4.072,16,-1758.0,1,unrated,-0.21230448383733055,bettingpros_experts,19.18,0,0.231,0.4375,7
,-80.25,16,UTA,9,spread,16,-2.478999999999999,16,-1284.0,0,unrated,-0.15024242424242415,bettingpros_experts,16.500000000000004,0,0.231,0.4375,7
reb_ast,-110.5625,16,UNDER,8,player_prop,16,-1.6179999999999999,16,-1769.0,0,unrated,-0.09187961385576376,sportsline,17.61,0,0.28,0.5,8
,-96.47058823529412,17,DET,5,spread,17,5.384999999999999,17,-1640.0,1,unrated,0.30458144796380077,sportsline,17.680000000000003,0,0.444,0.6875,11
,-110.4375,16,HOU,8,spread,16,-0.8089999999999999,16,-1767.0,0,unrated,-0.04812611540749553,sportsline,16.810000000000002,0,0.28,0.5,8
,-111.0,14,OVER,6,total,16,1.3309999999999995,13,-1443.0,0,unrated,0.09054421768707478,sportsline,14.700000000000003,2,0.3864,0.625,10
,-66.86666666666666,16,CHI,7,spread,16,0.16300000000000014,15,-1003.0,1,unrated,0.009685086155674401,bettingpros_experts,16.83,0,0.3012,0.5333333333333333,8
,-212.8,15,GSW,8,spread,15,-3.021,15,-3192.0,0,unrated,-0.17760141093474424,bettingpros_experts,17.01,0,0.2481,0.4666666666666667,7
,33.714285714285715,15,IND,9,spread,16,-2.565,14,472.0,1,unrated,-0.18901989683124537,bettingpros_experts,13.570000000000002,1,0.1982,0.4,6
,-149.33333333333334,15,NYK,5,moneyline,15,2.1060000000000008,15,-2240.0,0,unrated,0.1177852348993289,sportsline,17.88,0,0.4171,0.6666666666666666,10
,-111.0,15,LAC,6,spread,15,2.2249999999999996,15,-1665.0,0,unrated,0.14082278481012656,sportsline,15.8,0,0.3575,0.6,9
,-107.92857142857143,14,ORL,6,moneyline,14,0.4780000000000004,14,-1511.0,0,unrated,0.03079896907216497,bettingpros_experts,15.520000000000003,0,0.3259,0.5714285714285714,8
,-63.15384615384615,13,WAS,7,spread,14,-0.9990000000000006,13,-821.0,0,unrated,-0.07696456086286599,bettingpros_experts,12.98,1,0.268,0.5,7
,-90.64285714285714,14,MEM,5,spread,14,3.637,14,-1269.0,0,unrated,0.25433566433566435,dimers,14.299999999999999,0,0.3876,0.6428571428571429,9
,-105.42857142857143,14,DAL,9,moneyline,14,-5.970000000000001,14,-1476.0,0,unrated,-0.37359198998748444,sportsline,15.979999999999999,0,0.1634,0.35714285714285715,5
,-166.14285714285714,14,HOU,5,moneyline,14,0.6100000000000001,14,-2326.0,0,unrated,0.03503733486502011,sportsline,17.41,0,0.3876,0.6428571428571429,9
,-147.78571428571428,14,PHI,8,moneyline,14,-4.605,14,-2069.0,0,unrated,-0.27724262492474416,sportsline,16.61,0,0.2138,0.42857142857142855,6
,-124.92307692307692,13,PHX,5,moneyline,13,1.0390000000000001,13,-1624.0,0,unrated,0.06940547762191049,bettingpros_experts,14.97,0,0.3552,0.6153846153846154,8
,-48.75,13,DEN,7,moneyline,13,-1.383,12,-585.0,0,unrated,-0.1032860343539955,dimers,13.390000000000002,0,0.2321,0.46153846153846156,6
,3.3076923076923075,13,ORL,7,moneyline,13,-0.953,13,43.0,0,unrated,-0.07353395061728395,dimers,12.959999999999999,0,0.2321,0.46153846153846156,6
points,-56.30769230769231,13,OVER,5,player_prop,13,7.51,13,-732.0,0,unrated,0.22081740664510438,juicereel_sxebets,34.01,0,0.3552,0.6153846153846154,8
,-113.53846153846153,13,IND,6,moneyline,13,-0.6390000000000001,13,-1476.0,0,unrated,-0.04364754098360656,sportsline,14.64,0,0.2914,0.5384615384615384,7
,-130.92307692307693,13,MIN,5,moneyline,13,0.7160000000000002,13,-1702.0,0,unrated,0.04685863874345551,sportsline,15.280000000000001,0,0.3552,0.6153846153846154,8
points_assists,-115.84615384615384,13,OVER,6,player_prop,13,0.052999999999999714,13,-1506.0,0,unrated,0.0038020086083213563,sportsline,13.940000000000001,0,0.2914,0.5384615384615384,7
,-110.81818181818181,11,MEM,7,spread,13,-3.5780000000000003,11,-1219.0,0,unrated,-0.30898100172711573,sportsline,11.58,2,0.2321,0.46153846153846156,6
,-112.61538461538461,13,ORL,5,spread,13,2.221,13,-1464.0,0,unrated,0.16129266521423385,sportsline,13.77,0,0.3552,0.6153846153846154,8
steals,-188.15384615384616,13,UNDER,6,player_prop,13,-3.4059999999999997,13,-2446.0,1,unrated,-0.20334328358208953,bettingpros_experts,16.75,0,0.2538,0.5,6
,155.08333333333334,12,DAL,4,moneyline,12,6.301,12,1861.0,0,unrated,0.6326305220883534,dimers,9.96,0,0.3906,0.6666666666666666,8
,399.1818181818182,12,NOP,10,moneyline,12,-3.306,11,4391.0,0,unrated,-0.4528767123287672,dimers,7.299999999999999,0,0.047,0.16666666666666666,2
,696.8181818181819,12,WAS,12,moneyline,12,-4.13,11,7665.0,0,unrated,-1.0,dimers,4.13,0,0.0,0.0,0
,-83.33333333333333,11,GSW,7,spread,12,-3.241999999999998,9,-750.0,0,unrated,-0.28894830659536536,dimers,11.219999999999997,1,0.1933,0.4166666666666667,5
,-72.33333333333333,12,MIL,8,spread,12,-4.317,12,-868.0,0,unrated,-0.3512611879576893,dimers,12.289999999999996,0,0.1381,0.3333333333333333,4
,-142.91666666666666,12,MIA,7,moneyline,12,-4.01,12,-1715.0,0,unrated,-0.2860199714693295,sportsline,14.02,0,0.1933,0.4166666666666667,5
,-108.58333333333333,12,CLE,7,spread,12,-2.478,12,-1303.0,0,unrated,-0.19824000000000003,sportsline,12.5,0,0.1933,0.4166666666666667,5
,-111.83333333333333,12,GSW,6,spread,12,-0.6600000000000003,12,-1342.0,0,unrated,-0.05205047318611988,sportsline,12.680000000000003,0,0.2538,0.5,6
